browser_natural,os_natural,browser_machine,os_machine
0.0,0.0,0.0,0.0
0.20050000000000523,0.20140966700000007,0.16050000000000075,0.16178787499999991
0.44632000000001426,0.4468761250000002,0.36752000000000073,0.36773679199999965
0.7282800000000123,0.7283988749999999,0.5699400000000008,0.5702387089999998
0.9739000000000146,0.9742146250000001,0.775500000000001,0.7759990839999995
1.2880600000000015,1.288040042,0.9781399999999998,0.9785665420000003
1.5635400000000175,1.5640275829999997,1.1840400000000013,1.1842901669999994
1.8656400000000133,1.865984417,1.3864,1.3869237089999995
2.162000000000006,2.1627565420000003,1.59234,1.592499084
2.4150000000000205,2.4157797500000004,1.7977800000000013,1.7982600839999998
2.706440000000015,2.7070106250000006,2.002700000000001,2.003422834
3.1003800000000012,3.1024353749999998,2.2088800000000006,2.20921875
3.6138400000000104,3.615751208,2.41076,2.41120075
3.9110200000000077,3.911069208,2.6164400000000008,2.6170152499999997
4.180640000000011,4.180608083,2.822520000000001,2.822816917
4.436200000000014,4.4362635,3.027700000000001,3.0284755
4.696360000000027,4.696558833,3.2339800000000007,3.234284916999999
4.966360000000009,4.966634792,3.4364000000000026,3.436932625
5.230680000000007,5.231217333,3.64246,3.6428072919999996
5.503140000000002,5.503492583,3.8479800000000015,3.8485900420000005
5.850620000000021,5.851405625,4.053600000000001,4.054269292
6.141020000000026,6.141492542,4.259500000000001,4.25999325
6.421380000000028,6.421922458000001,4.4619,4.4621826669999995
6.734580000000022,6.732038167000001,4.6653400000000005,4.6656915
6.978240000000028,6.9792211250000005,4.869860000000001,4.870296499999999
7.253540000000015,7.2539458329999995,5.075900000000001,5.076046541999999
7.535800000000023,7.536213458000001,5.280940000000001,5.280671666999999
7.828620000000001,7.828992958000001,5.4855,5.4863475
8.072900000000004,8.073901625,5.6923400000000015,5.692205625000001
8.278040000000004,8.279148708000001,5.894720000000001,5.895258167000001
8.538280000000015,8.538895917,6.10064,6.101043792
8.77134000000001,8.77222575,6.3033,6.3036537919999995
9.027960000000007,9.028336917,6.509340000000002,6.509516917
9.257060000000024,9.256977125,6.711540000000001,6.711930667
9.491840000000025,9.49265425,6.916540000000001,6.91708175
9.729640000000018,9.730127333,7.119500000000002,7.120148417
9.954540000000009,9.955721917,7.325380000000003,7.32590475
10.203080000000028,10.203410542,7.528120000000001,7.528578
10.450680000000006,10.449313542,7.7341000000000015,7.734381417000001
10.693480000000022,10.694663708,7.937900000000003,7.9373949999999995
10.933340000000015,10.934466167,8.14312,8.143152666999999
11.171940000000006,11.172456125,8.345580000000002,8.345382375
11.435040000000015,11.435656042,8.550720000000002,8.551133749999998
11.68774000000002,11.687625583,8.756800000000002,8.756975584
11.923640000000006,11.924343875,8.962060000000001,8.962688084
12.106360000000024,12.107123042,9.165100000000002,9.165430375
12.325480000000027,12.326807125,9.370520000000003,9.371153
12.559380000000004,12.560475833,9.576220000000003,9.576825125
12.872420000000005,12.869174208,9.782140000000002,9.78267
13.164400000000029,13.16597875,9.988240000000001,9.988475874999999
13.35578000000001,13.356952,10.19408,10.194197249999998
13.60832000000002,13.608457167000001,10.40042,10.400742084
13.873940000000005,13.875343999999998,10.60612,10.606532875
14.106560000000002,14.10798725,10.81128,10.811838542
14.333320000000015,14.334883292,11.017220000000002,11.017737917000002
14.580580000000026,14.581907125,11.22146,11.222756125
14.802840000000003,14.802653958,11.428740000000001,11.428918792000001
15.077020000000005,15.077640292000002,11.630740000000003,11.631105959
15.341280000000012,15.342790749999999,11.83632,11.836892417000001
15.579920000000016,15.581195957999999,12.04222,12.042596292000002
15.841220000000021,15.842708000000002,12.24492,12.245248042
16.089920000000006,16.091303917,12.45128,12.451178084000002
16.332520000000017,16.333967458,12.65314,12.653446292000002
16.560760000000016,16.561559042,12.853940000000001,12.855136125000001
16.811480000000017,16.813054167,13.059980000000003,13.060796125
17.050020000000018,17.050676542,13.264200000000002,13.264923375000002
17.29340000000002,17.294001917,13.47034,13.470717709000002
17.59328000000002,17.593291458,13.671520000000001,13.67178325
17.819420000000008,17.82023825,13.877000000000002,13.877547542000002
18.076760000000007,18.077274458,14.083720000000003,14.083484542
18.34970000000004,18.350510167,14.286640000000002,14.286853834000002
18.597760000000022,18.596560667,14.492260000000002,14.492601459
18.839640000000003,18.840330042,14.69792,14.698406709
19.11814000000001,19.118858,14.90296,14.903471959
19.364580000000018,19.365207875,15.10856,15.109020167
19.606160000000017,19.606449333,15.311900000000001,15.3118385
19.856340000000017,19.856767208,15.51942,15.519984334
20.108100000000007,20.10843725,15.7255,15.725769917000001
20.35620000000003,20.354156292,15.928500000000003,15.928622917000002
20.566340000000025,20.567318,16.1341,16.134256334
20.764960000000002,20.765983208,16.337020000000003,16.33720675
21.017620000000022,21.018315458,16.54248,16.542941875
21.27982000000003,21.280136292,16.74866,16.748838334000002
21.538520000000005,21.539305292,16.95444,16.954693375
21.773240000000015,21.774179625,17.1599,17.160435209
22.057020000000023,22.057341875,17.36566,17.366272292
22.33742000000001,22.33799925,17.571800000000003,17.572079625
22.63094000000001,22.631436458,17.7772,17.777813042000002
22.91016000000002,22.910986333,17.98318,17.983631167000002
23.194740000000024,23.195011125,18.186680000000003,18.186932375
23.508340000000004,23.508432042,18.39234,18.392692042
23.89664000000002,23.897425917,18.598280000000003,18.598584209000002
24.183840000000004,24.184749167,18.80336,18.803641542
24.54248000000004,24.544742083,19.0073,19.007393625000002
24.914080000000013,24.916411042,19.213,19.213165834
25.331500000000005,25.333684458,19.413960000000003,19.414001375
25.74460000000002,25.74687525,19.61822,19.618477875
26.12264000000002,26.125065333,19.823760000000004,19.824299917
26.501720000000006,26.503845125,20.027160000000002,20.027273292
26.913080000000008,26.9139015,20.228140000000003,20.22856
