browser_natural,os_natural,browser_machine,os_machine,type
0.0,0.0,0.0,0.0,keydown
0.08333499999999994,0.08720950000000016,0.10000200000000348,0.1072046000000002,keyup
0.21667099999999984,0.21789020000000026,0.31667300000000154,0.3083077999999997,keydown
0.3000059999999989,0.2962320000000003,0.46667600000000675,0.4812297000000001,keyup
0.45000899999999966,0.4479042,0.6666800000000066,0.6820928999999998,keydown
0.5166769999999996,0.5092596999999999,0.8333500000000029,0.8529384999999996,keyup
0.7166809999999995,0.6978113000000001,1.050021000000001,1.0562405999999998,keydown
0.7500149999999994,0.7492819000000002,1.1666900000000027,1.1750087000000002,keyup
0.9166849999999993,0.9109066000000001,1.3666940000000025,1.3832541000000003,keydown
0.9833530000000001,0.9833487000000001,1.466696000000006,1.4852736000000002,keyup
1.150023,1.1449582,1.683366999999997,1.694998,keydown
1.200023999999999,1.1913616,1.7833690000000004,1.7861004999999999,keyup
1.3833609999999998,1.3767954000000002,2.0000400000000056,1.9944343999999994,keydown
1.416694999999998,1.4123594000000002,2.116709,2.1226426000000007,keyup
1.6166989999999997,1.6031241999999999,2.3333800000000053,2.3385461000000003,keydown
1.6833669999999996,1.6743948999999998,2.433382000000009,2.4490672999999994,keyup
1.8167029999999986,1.8170870999999997,2.650053000000007,2.6642866000000005,keydown
1.8667039999999986,1.8774367,2.7833890000000068,2.7930747,keyup
2.0500409999999984,2.0390834000000004,3.000060000000005,3.007620599999999,keydown
2.1167089999999984,2.1134359999999996,3.1667300000000083,3.180045099999999,keyup
2.266712,2.2681296000000004,3.366734000000001,3.3813531999999995,keydown
2.3333799999999982,2.3225146999999997,3.566738000000008,3.5693464000000006,keyup
2.483383,2.4800457999999996,3.7500750000000025,3.771279999999999,keydown
2.550051,2.5374882,3.866744000000004,3.8780669999999997,keyup
2.7000539999999997,2.6871159,4.083415000000009,4.0812443,keydown
2.733387999999998,2.7385103,4.216751000000009,4.2335446999999995,keyup
2.9167249999999996,2.9032084,4.433422,4.4393882,keydown
2.9833929999999995,2.9735371,4.566758,4.5752471,keyup
3.1167289999999994,3.1024525000000005,4.783428999999991,4.780203200000001,keydown
3.1833969999999994,3.1675774000000003,4.883431000000009,4.887539199999999,keyup
3.3167329999999993,3.3132147,5.0834350000000015,5.092383,keydown
3.383400999999999,3.3725845,5.216771000000001,5.2193988000000004,keyup
3.533403999999999,3.5262533,5.416775000000008,5.421417,keydown
3.583404999999999,3.5796116999999996,5.533443999999996,5.5329180000000004,keyup
3.750074999999999,3.7422852,5.733448000000003,5.734773000000001,keydown
3.800075999999999,3.8036266,5.833450000000006,5.8424949,keyup
3.933411999999999,3.9202646,6.033454000000013,6.044102799999999,keydown
3.9834129999999988,3.9797447,6.150123000000001,6.153559899999999,keyup
4.116748999999999,4.106325699999999,6.350127000000008,6.3572372,keydown
4.183416999999999,4.1776795,6.483462999999993,6.495514200000001,keyup
4.316753,4.3163249,6.683467,6.6994007,keydown
4.383421,4.371741200000001,6.816803000000014,6.8240061,keyup
4.50009,4.499473399999999,7.016807000000007,7.027103499999999,keydown
4.566758,4.5607337,7.150143000000007,7.157430699999999,keyup
4.700094,4.7004188,7.366814000000012,7.369760599999999,keydown
4.766762,4.7597421,7.450149000000003,7.470939700000001,keyup
4.883431,4.8764497,7.683487000000007,7.6845079,keydown
4.933432,4.933755700000001,7.800155999999994,7.8061661,keyup
5.066768,5.065440199999999,8.000160000000001,8.0096816,keydown
5.133436,5.131783499999999,8.200163999999994,8.1966396,keyup
5.250105,5.2424848,8.383501000000003,8.3992008,keydown
5.3001059999999995,5.301810400000001,8.500170000000004,8.5186765,keyup
5.4167749999999995,5.4114152,8.71684100000001,8.7271801,keydown
5.466775999999999,5.4708190000000005,8.833509999999997,8.8514405,keyup
5.583444999999999,5.5803479,9.066848,9.0671942,keydown
5.650112999999999,5.6408635,9.23351800000001,9.22881,keyup
5.766781999999999,5.7634027,9.433522000000004,9.442511099999999,keydown
5.816782999999999,5.8048591,9.600192,9.6069303,keyup
5.950118999999999,5.9435313,9.800196000000007,9.8161549,keydown
6.016786999999999,6.0138868,9.950199000000005,9.9516871,keyup
6.150122999999999,6.1476066,10.150202999999998,10.159495699999999,keydown
6.216790999999999,6.2179067,10.283538999999998,10.3055942,keyup
6.350126999999999,6.3425101,10.516877000000001,10.518371400000001,keydown
6.416794999999999,6.412927099999999,10.683546999999997,10.6954264,keyup
6.533463999999999,6.533596299999999,10.900218000000002,10.9086786,keydown
6.583464999999999,6.5859991,11.01688699999999,11.020864099999999,keyup
6.716801,6.716433,11.216890999999997,11.2354125,keydown
6.783469,6.793968699999999,11.333560000000013,11.341152,keyup
6.916805,6.9156458,11.533564000000005,11.547379399999999,keydown
6.983473,6.981986599999999,11.683567000000004,11.693537699999998,keyup
7.100142,7.093636799999999,11.900238000000009,11.9041734,keydown
7.16681,7.174013199999999,12.050241000000007,12.0585978,keyup
7.283479,7.286565099999999,12.266912000000012,12.262715599999998,keydown
7.366814,7.371033599999999,12.433582000000008,12.441403,keyup
7.483483,7.482644799999999,12.633586000000001,12.6510719,keydown
7.566818,7.572137999999999,12.833590000000008,12.847805,keyup
7.6834869999999995,7.686746899999999,13.050261000000013,13.0561749,keydown
7.7668219999999994,7.7650784,13.200264000000011,13.210823,keyup
7.883490999999999,7.8866332,13.400268000000004,13.414708200000002,keydown
7.983492999999999,7.979102899999999,13.500269999999993,13.5131596,keyup
8.083495,8.0817505,13.716940999999998,13.7253798,keydown
8.16683,8.1681256,13.816943000000002,13.817756399999999,keyup
8.283498999999999,8.2807693,14.016947000000009,14.0232486,keydown
8.366833999999999,8.3511552,14.133615999999996,14.144488399999998,keyup
8.483502999999999,8.4757932,14.350287000000002,14.3481969,keydown
8.550170999999999,8.549165499999999,14.450289000000005,14.456148,keyup
8.666839999999999,8.662842999999999,14.650292999999998,14.65891,keydown
8.716840999999999,8.7162013,14.750295000000001,14.763226999999999,keyup
8.866843999999999,8.861856399999999,14.966966000000006,14.970059699999998,keydown
8.916844999999999,8.9293126,15.100302000000006,15.1038461,keyup
9.083515,9.080947499999999,15.316973000000011,15.3123347,keydown
9.16685,9.1602363,15.483643000000008,15.4759698,keyup
9.283519,9.2829594,15.683647,15.6880191,keydown
9.350187,9.361276199999999,15.816983,15.8360808,keyup
9.516857,9.5157022,16.050321000000004,16.047096500000002,keydown
9.583525,9.5882866,16.166990000000006,16.1737234,keyup
9.766861999999998,9.761168399999999,16.383660999999996,16.3900195,keydown
9.833530000000001,9.8443125,16.516996999999996,16.514846,keyup
9.966866000000001,9.976774299999999,16.717001000000003,16.7182216,keydown
10.066868000000001,10.0543379,16.900337999999998,16.9130952,keyup
10.200204000000001,10.188018999999999,17.117009000000003,17.124036099999998,keydown
10.283539,10.2783816,17.267012,17.278378099999998,keyup
10.416875,10.4100051,17.483682999999992,17.482169499999998,keydown
10.500209999999997,10.493404199999999,17.650353000000003,17.6521457,keyup
10.616878999999999,10.6108981,17.850356999999995,17.8548039,keydown
10.683546999999999,10.688412,18.000360000000008,17.994876599999998,keyup
10.800216,10.8015376,18.200364000000015,18.1980485,keydown
10.883550999999999,10.878431299999999,18.3337,18.3350364,keyup
11.016886999999999,11.011126299999999,18.533704000000007,18.539753500000003,keydown
11.116888999999999,11.1164623,18.700374000000004,18.6996568,keyup
11.216890999999999,11.223068399999999,18.91704500000001,18.912550500000002,keydown
11.316892999999999,11.3154905,19.05038100000001,19.048224500000003,keyup
11.433561999999997,11.434389699999999,19.250385,19.257428599999997,keydown
11.516897000000002,11.5265301,19.417054999999998,19.420247600000003,keyup
11.633566,11.6379264,19.633726000000003,19.6283227,keydown
11.733568,11.7345348,19.717061000000008,19.7269832,keyup
11.850236999999998,11.8511834,19.950398999999997,19.9411688,keydown
11.933572,11.9425568,20.117068999999994,20.1258094,keyup
12.066908,12.0671822,20.317073,20.327997099999997,keydown
12.150242999999998,12.1556827,20.500409999999995,20.5085092,keyup
12.266912,12.2711027,20.717081,20.7190584,keydown
12.350246999999998,12.3557053,20.833750000000002,20.8327124,keyup
12.466916,12.4632537,21.03375400000001,21.045202699999997,keydown
12.566918,12.5566208,21.217091000000003,21.2229522,keyup
12.683587000000001,12.6820979,21.433761999999994,21.4329969,keydown
12.783589000000001,12.777695099999999,21.533763999999998,21.532234799999998,keyup
12.900258,12.8904746,21.750435000000003,21.7442591,keydown
12.983593,12.9816709,21.900438,21.9027958,keyup
13.100261999999999,13.0953509,22.100442000000008,22.1039776,keydown
13.166929999999999,13.165692,22.200443999999997,22.2063505,keyup
13.333599999999999,13.3261796,22.417115000000003,22.414609300000002,keydown
13.416935,13.4067216,22.583785,22.587438900000002,keyup
13.550271,13.547405,22.800456000000004,22.802048999999997,keydown
13.633605999999999,13.626781,22.967126,22.9678373,keyup
13.750275,13.750252399999999,23.167129999999993,23.175174,keydown
13.850277,13.8377934,23.26713200000001,23.278610299999997,keyup
13.966945999999998,13.950432900000001,23.483803,23.484352700000002,keydown
14.033613999999998,14.0217874,23.567138000000007,23.5783312,keyup
14.150283,14.145613199999998,23.783808999999998,23.7925671,keydown
14.233617999999998,14.2378108,23.883811000000016,23.8893926,keyup
14.350287,14.354276,24.100481999999992,24.1025628,keydown
14.450289,14.438996999999999,24.283819,24.288939300000003,keyup
14.566957999999998,14.550674200000001,24.500490000000006,24.5053426,keydown
14.633625999999998,14.6369789,24.633826000000006,24.634281899999998,keyup
14.766961999999998,14.7585784,24.833830000000013,24.8471877,keydown
14.850297,14.844885499999998,24.933832000000002,24.950684699999996,keyup
14.966966000000001,14.961521799999998,25.150503000000008,25.1591236,keydown
15.050301,15.0549065,25.267171999999995,25.260156000000002,keyup
15.166970000000001,15.1615193,25.467176000000002,25.4702985,keydown
15.266972,15.254972799999999,25.550511000000007,25.5611471,keyup
15.383640999999999,15.3754316,25.750515000000014,25.7693412,keydown
15.450309000000003,15.4519489,25.900518000000012,25.9041133,keyup
15.583644999999999,15.579720700000001,26.100522000000005,26.1131224,keydown
15.66698,15.6759784,26.250525000000003,26.2569535,keyup
15.800316,15.8047242,26.45052900000001,26.4586743,keydown
15.900318,15.899037599999998,26.617199000000006,26.635736300000005,keyup
16.016987,16.0227389,26.833869999999997,26.849055300000003,keydown
16.133656000000002,16.127027000000002,26.967205999999997,26.986295900000002,keyup
16.216991,16.218692500000003,27.183877000000003,27.190035300000005,keydown
16.316992999999997,16.309103,27.33388,27.342498,keyup
16.416995,16.4197266,27.550551000000006,27.550113600000003,keydown
16.516996999999996,16.5150702,27.63388600000001,27.6438913,keyup
16.633665999999998,16.6337216,27.833890000000004,27.848969600000004,keydown
16.733668,16.736099300000003,28.00056,28.0100274,keyup
16.833669999999998,16.8347629,28.217231000000005,28.2199447,keydown
16.950339,16.9402553,28.350567000000005,28.363311799999998,keyup
17.050340999999996,17.052601000000003,28.56723800000001,28.5768851,keydown
17.183677000000003,17.1771506,28.750575000000005,28.770378,keyup
17.267012,17.254819700000002,28.96724600000001,28.9819405,keydown
17.383681000000003,17.3781846,29.083914999999998,29.091798000000004,keyup
17.467016,17.4686971,29.300586000000003,29.308171200000004,keydown
