,0,Missclassifications,Error
a2,64,401,86.23655913978494
a3,60,405,87.09677419354838
a4,91,374,80.43010752688173
a23,61,404,86.88172043010753
a24,102,363,78.06451612903226
a34,97,368,79.13978494623656
a234,85,380,81.72043010752688
r2,339,126,27.096774193548388
r3,345,120,25.806451612903228
r4,337,128,27.526881720430108
r23,355,110,23.655913978494624
r24,364,101,21.720430107526884
r34,357,108,23.225806451612904
r234,361,104,22.365591397849464
r2_a2,336,129,27.741935483870968
r2_a23,323,142,30.537634408602152
r2_a24,341,124,26.666666666666668
r2_a234,325,140,30.107526881720432
r23_a2,354,111,23.870967741935484
r23_a23,351,114,24.516129032258064
r23_a24,357,108,23.225806451612904
r23_a234,355,110,23.655913978494624
r234_a2,362,103,22.150537634408604
r234_a23,360,105,22.580645161290324
r234_a24,363,102,21.935483870967744
r234_a234,357,108,23.225806451612904
