,0,Missclassifications,Error
a2,55,410,88.17204301075269
a3,54,411,88.38709677419355
a4,92,373,80.21505376344086
a23,62,403,86.66666666666667
a24,69,396,85.16129032258064
a34,71,394,84.73118279569893
a234,62,403,86.66666666666667
r2,348,117,25.161290322580644
r3,346,119,25.591397849462368
r4,334,131,28.172043010752688
r23,357,108,23.225806451612904
r24,367,98,21.0752688172043
r34,349,116,24.946236559139784
r234,363,102,21.935483870967744
r2_a2,353,112,24.086021505376344
r2_a23,335,130,27.956989247311828
r2_a24,340,125,26.881720430107528
r2_a234,314,151,32.473118279569896
r23_a2,361,104,22.365591397849464
r23_a23,358,107,23.010752688172044
r23_a24,358,107,23.010752688172044
r23_a234,353,112,24.086021505376344
r234_a2,362,103,22.150537634408604
r234_a23,363,102,21.935483870967744
r234_a24,366,99,21.29032258064516
r234_a234,362,103,22.150537634408604
