,0,Missclassifications,Error
a2,94,371,79.78494623655914
a3,89,376,80.86021505376344
a4,106,359,77.20430107526882
a23,120,345,74.19354838709677
a24,128,337,72.47311827956989
a34,121,344,73.97849462365592
a234,138,327,70.3225806451613
r2,349,116,24.946236559139784
r3,358,107,23.010752688172044
r4,345,120,25.806451612903228
r23,362,103,22.150537634408604
r24,370,95,20.43010752688172
r34,356,109,23.440860215053764
r234,371,94,20.21505376344086
r2_a2,347,118,25.376344086021504
r2_a23,333,132,28.387096774193548
r2_a24,339,126,27.096774193548388
r2_a234,318,147,31.612903225806452
r23_a2,361,104,22.365591397849464
r23_a23,356,109,23.440860215053764
r23_a24,355,110,23.655913978494624
r23_a234,351,114,24.516129032258064
r234_a2,370,95,20.43010752688172
r234_a23,364,101,21.720430107526884
r234_a24,364,101,21.720430107526884
r234_a234,360,105,22.580645161290324
