,0,Missclassifications,Error
a2,225,240,51.612903225806456
a3,175,290,62.365591397849464
a4,161,304,65.3763440860215
a23,266,199,42.795698924731184
a24,281,184,39.56989247311828
a34,230,235,50.53763440860215
a234,298,167,35.913978494623656
r2,381,84,18.06451612903226
r3,387,78,16.774193548387096
r4,366,99,21.29032258064516
r23,391,74,15.913978494623656
r24,393,72,15.483870967741936
r34,388,77,16.559139784946236
r234,396,69,14.838709677419356
r2_a2,388,77,16.559139784946236
r2_a23,389,76,16.344086021505376
r2_a24,393,72,15.483870967741936
r2_a234,396,69,14.838709677419356
r23_a2,394,71,15.268817204301076
r23_a23,396,69,14.838709677419356
r23_a24,397,68,14.623655913978494
r23_a234,399,66,14.193548387096774
r234_a2,396,69,14.838709677419356
r234_a23,397,68,14.623655913978494
r234_a24,397,68,14.623655913978494
r234_a234,398,67,14.408602150537634
