,0,Missclassifications,Error
a2,57,408,87.74193548387098
a3,65,400,86.02150537634408
a4,102,363,78.06451612903226
a23,68,397,85.3763440860215
a24,86,379,81.50537634408602
a34,81,384,82.58064516129032
a234,73,392,84.3010752688172
r2,353,112,24.086021505376344
r3,360,105,22.580645161290324
r4,347,118,25.376344086021504
r23,361,104,22.365591397849464
r24,365,100,21.50537634408602
r34,370,95,20.43010752688172
r234,371,94,20.21505376344086
r2_a2,360,105,22.580645161290324
r2_a23,346,119,25.591397849462368
r2_a24,343,122,26.236559139784948
r2_a234,321,144,30.967741935483872
r23_a2,369,96,20.64516129032258
r23_a23,367,98,21.0752688172043
r23_a24,367,98,21.0752688172043
r23_a234,360,105,22.580645161290324
r234_a2,373,92,19.78494623655914
r234_a23,373,92,19.78494623655914
r234_a24,375,90,19.35483870967742
r234_a234,374,91,19.56989247311828
