,0,Missclassifications,Error
a2,150,315,67.74193548387098
a3,162,303,65.16129032258064
a4,153,312,67.09677419354838
a23,182,283,60.86021505376344
a24,184,281,60.43010752688172
a34,193,272,58.494623655913976
a234,197,268,57.634408602150536
r2,372,93,20.0
r3,379,86,18.49462365591398
r4,358,107,23.010752688172044
r23,387,78,16.774193548387096
r24,387,78,16.774193548387096
r34,376,89,19.13978494623656
r234,389,76,16.344086021505376
r2_a2,375,90,19.35483870967742
r2_a23,364,101,21.720430107526884
r2_a24,365,100,21.50537634408602
r2_a234,351,114,24.516129032258064
r23_a2,386,79,16.989247311827956
r23_a23,385,80,17.204301075268816
r23_a24,382,83,17.8494623655914
r23_a234,378,87,18.70967741935484
r234_a2,391,74,15.913978494623656
r234_a23,387,78,16.774193548387096
r234_a24,388,77,16.559139784946236
r234_a234,385,80,17.204301075268816
