browser_natural_idle,os_natural_idle,browser_machine_idle,os_machine_idle,browser_natural_maximum_normal,os_natural_maximum_normal,browser_machine_maximum_normal,os_machine_maximum_normal,browser_natural_medium_abovenormal,os_natural_medium_abovenormal,browser_machine_medium_abovenormal,os_machine_medium_abovenormal,browser_natural_busy_abovenormal,os_natural_busy_abovenormal,browser_machine_busy_abovenormal,os_machine_busy_abovenormal,type
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,keydown
0.09370000000001255,0.09403919999999921,0.009419999999977335,0.01028450000000003,0.08596000000011372,0.08623769999999986,0.009919999999965512,0.010202200000000161,0.07766000000015083,0.07830070000000022,0.009580000000141808,0.010221800000000059,0.06812000000002172,0.06246449999999992,0.009779999999977917,0.010177900000000406,keyup
0.29319999999995616,0.29321169999999963,0.21339999999997872,0.2140114999999998,0.27706000000011954,0.2771513999999997,0.21100000000001273,0.21112619999999982,0.27692000000001826,0.27700900000000006,0.22880000000009204,0.2149283000000004,0.34678000000002385,0.3485775999999996,0.21469999999999345,0.21490520000000046,keydown
0.3869600000000446,0.3873274999999996,0.22334000000000742,0.22422719999999963,0.3630800000000818,0.36343900000000007,0.22080000000005384,0.2213251999999999,0.354720000000043,0.3553866000000001,0.22904000000016822,0.22508649999999975,0.432860000000062,0.4348095999999999,0.22459999999995262,0.22505690000000023,keyup
0.5864400000000387,0.5865315999999998,0.43610000000012406,0.4366918000000002,0.5702800000001389,0.5703271000000001,0.43221999999991567,0.4323907,0.5538000000001375,0.5542025000000002,0.4670200000002751,0.4375062999999999,0.6794200000000501,0.6812110999999996,0.4309999999999832,0.4311368,keydown
0.6802999999999884,0.6806370999999993,0.44632000000001426,0.4469393000000004,0.6483400000001893,0.648612,0.4421199999999317,0.4425939999999997,0.6318999999998596,0.6325322,0.4674400000003516,0.44766560000000055,0.7711000000000467,0.7594753999999995,0.44083999999998014,0.44131820000000044,keyup
0.8876800000000458,0.8878307999999997,0.6523200000000315,0.6528320000000001,0.8713800000000447,0.8714890999999998,0.653440000000046,0.6537014999999995,0.8150000000000546,0.8153748000000003,0.6867000000002008,0.6538475000000004,1.0040799999999876,1.0058983999999995,0.653759999999977,0.6538215000000003,keydown
0.9656400000000076,0.9659150999999992,0.6622200000000475,0.6630529000000003,0.9654400000001715,0.9657412999999995,0.6634400000000369,0.6639096999999996,0.8930800000000545,0.8937204000000003,0.6870000000001255,0.6640049000000001,1.1030400000000213,1.1000486,0.6637199999999552,0.6640322000000003,keyup
1.164920000000052,1.1651755999999995,0.8685400000000527,0.8690512999999997,1.196619999999939,1.1966644999999998,0.8748000000000502,0.8749681999999996,1.1179600000000391,1.1084798,0.8694600000003447,0.8699890999999997,1.386220000000037,1.3632295,0.8697399999999789,0.8699341,keydown
1.2588200000000143,1.2591268999999992,0.8784799999999677,0.8793126999999998,1.2746799999999894,1.274902,0.8846599999999398,0.8851743999999995,1.1941799999999603,1.1948000000000003,0.8792399999999816,0.8801332999999998,1.4388000000000147,1.4406872999999996,0.8796199999999885,0.8801170000000003,keyup
1.4582599999999957,1.4584677999999993,1.0850599999999986,1.0853484,1.4894600000000082,1.4896760999999996,1.09604000000013,1.0962775999999996,1.3933999999999287,1.3935304,1.0855200000000877,1.0860621999999998,1.6693200000000274,1.671189,1.085999999999956,1.0861355000000001,keydown
1.5521199999999453,1.5523740999999998,1.0948400000000902,1.0956465,1.5837599999999838,1.5840198,1.1059999999999945,1.1064857999999997,1.4876200000001063,1.4719496000000003,1.0954400000002806,1.0962269000000004,1.7737000000000194,1.7733549999999996,1.0958599999999592,1.0963221,keyup
1.7596399999999903,1.7596881,1.3009200000000192,1.3014878999999997,1.8066400000000158,1.8068166000000003,1.3173999999999069,1.3176682,1.670240000000149,1.6707355000000002,1.316220000000385,1.3022670000000005,2.0589600000000132,2.0524471999999996,1.302279999999996,1.3022912,keydown
