[user] [failure rate    ]  | ['  0', '  1', '  2', '  3', '  4', '  5', '  6', '  7', '  8', '  9', ' 10', ' 11', ' 12', ' 13', ' 14', ' 15', ' 16', ' 17', ' 18', ' 19', ' 20', ' 21', ' 22', ' 23', ' 24', ' 25', ' 26', ' 27', ' 28', ' 29', ' 30']
[  13] [failures: 100.0%]  | ['  0', '  0', '  1', '  2', ' 13', '  0', '  0', '  0', '  0', '  0', '  0', '  0', ' 19', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
[  13] [failures: 94.29%]  | ['  0', '  0', '  0', '  3', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', ' 29', '  0', '  0', '  0', '  0', '  0', '  1', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
[  13] [failures: 82.86%]  | ['  0', '  0', '  0', '  0', '  1', '  0', '  0', '  0', '  0', '  0', '  0', '  0', ' 28', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
[  13] [failures: 100.0%]  | ['  0', '  0', '  0', ' 10', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', ' 25', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
[  13] [failures: 97.14%]  | ['  0', '  0', '  1', '  4', '  2', '  0', '  0', '  0', '  0', '  0', '  0', '  0', ' 27', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
[  13] [failures: 100.0%]  | ['  0', '  0', '  0', ' 12', '  1', '  0', '  0', '  0', '  0', '  0', '  0', '  0', ' 22', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
[  13] [failures: 100.0%]  | ['  0', '  0', '  0', ' 16', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', ' 19', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
[  13] [failures: 100.0%]  | ['  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  6', '  0', '  0', '  0', '  0', ' 29', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0']
[  13] [failures: 100.0%]  | ['  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  1', '  0', '  4', '  0', '  0', '  0', '  0', ' 29', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  0', '  1']
