browser_natural,os_natural,browser_machine,os_machine
0.0,0.0,0.0,0.0
0.3833410000000015,0.3841486999999999,0.20000400000000162,0.20113070000000022
0.6333460000000013,0.6312491999999987,0.4000079999999997,0.40302360000000004
0.9333520000000011,0.9301567,0.6000120000000013,0.6047359000000005
1.1833570000000009,1.1872843999999998,0.8166830000000012,0.8071537000000006
1.5333640000000024,1.5240518,1.016687000000001,1.0090465000000002
1.8333700000000004,1.8381995999999998,1.2000240000000026,1.2101056999999997
2.166710000000002,2.1592423000000003,1.4333620000000025,1.4252896000000002
2.466716,2.4632419999999997,1.6166990000000006,1.6271903000000005
2.7833890000000014,2.7913978,1.8167030000000004,1.8301578999999997
3.1000619999999994,3.1062581999999996,2.0167070000000002,2.0331537000000006
3.416735000000001,3.418427,2.233378000000002,2.2337993000000003
3.7834090000000025,3.7807134999999996,2.433382,2.4357981000000004
4.0500810000000005,4.0626818,2.6500529999999998,2.6505865
4.366754000000002,4.3644777999999995,2.8500570000000014,2.8514871
4.633426000000002,4.644615999999999,3.0500609999999995,3.0543695999999994
4.916765000000002,4.9265665,3.250065000000001,3.256355000000001
5.233438000000001,5.223708200000001,3.450069000000001,3.4592022999999994
5.533444000000001,5.538762,3.650073000000001,3.6600021
5.816783000000003,5.8196601,3.8667440000000006,3.8635721000000007
6.066788000000004,6.0767047000000005,4.0667480000000005,4.0667173000000005
6.383461000000002,6.379689300000001,4.266752,4.2682442
6.683467000000002,6.6737321000000005,4.466756000000002,4.471026500000001
6.966806000000004,6.9737323,4.66676,4.672086999999999
7.250145000000002,7.244006000000001,4.866764000000002,4.8765575000000005
7.533484000000003,7.5417757000000005,5.083435,5.0791059999999995
7.833489999999999,7.8308675999999995,5.283439000000001,5.2825448
8.116829000000001,8.1120736,5.483443000000001,5.486422900000001
8.400167999999999,8.4108791,5.700113999999999,5.7018939
8.683507,8.687028,5.900118000000003,5.9031304
8.950179000000004,8.9621178,6.1001220000000025,6.1070481
9.233518000000002,9.246075900000001,6.300126000000002,6.309412
9.533523999999998,9.5350799,6.500129999999999,6.5107304
9.783529,9.7831936,6.716801,6.7134053
10.083535000000003,10.078213100000001,6.916805000000004,6.9173463
10.350207,10.3503113,7.116809,7.119862100000001
10.616878999999999,10.6222554,7.316813,7.320769200000001
10.900218,10.9001123,7.516817000000003,7.5226001
11.183556999999999,11.1873299,7.733488000000001,7.7232571
11.50023,11.492367400000001,7.916824999999999,7.924526800000001
11.783569000000002,11.7934634,8.116829,8.1288408
12.083574999999998,12.0774883,8.3335,8.3438708
12.366914,12.3664698,8.566838,8.5595898
12.633586000000003,12.6294938,8.750175000000002,8.7610114
12.933592000000003,12.9375948,8.966846,8.9636022
13.166930000000002,13.1834414,9.16685,9.1646529
13.450269000000004,13.4465297,9.366854000000004,9.3653852
13.733608000000002,13.7366326,9.550191000000002,9.5678188
14.016947000000004,14.0165681,9.766862,9.7709372
14.266951999999998,14.2695173,9.966866,9.973899
14.550291,14.558630700000002,10.166870000000003,10.1759205
14.833630000000001,14.8357867,10.383541000000001,10.3768209
15.116969,15.131699300000001,10.566877999999999,10.5792852
15.433642,15.4408642,10.783549,10.7827255
15.700314,15.7067214,11.000219999999999,10.9983259
16.000320000000002,16.0159435,11.183557,11.198864299999999
16.283659,16.2799694,11.400228000000002,11.401688900000002
16.550331,16.5627827,11.600232000000002,11.6041094
16.850337000000003,16.8508274,11.816903,11.819153000000002
17.133676,17.1469114,12.033573999999998,12.023226800000002
17.400348,17.4050722,12.216911000000003,12.2245619
17.700354000000004,17.7029945,12.433582000000001,12.439685299999999
18.00036,18.0021604,12.650253,12.641542500000002
18.283699000000006,18.2880552,12.833590000000001,12.8453359
18.583705000000002,18.5921977,13.033594,13.0465873
18.883710999999998,18.8950979,13.250265000000002,13.248967299999999
19.183717,19.1852957,13.466936,13.464860400000001
19.483722999999998,19.4881922,13.650272999999999,13.6657356
19.800396,19.7984155,13.850277000000002,13.868022600000002
20.083735000000004,20.0813011,14.066948000000004,14.0691553
20.383741,20.3782593,14.266952,14.2711664
20.683747000000004,20.6832843,14.483623000000001,14.4864832
20.967086000000002,20.9794914,14.683626999999998,14.687350499999999
21.283758999999996,21.2745922,14.883631000000001,14.8889895
21.583765,21.5835528,15.083635000000001,15.0925748
21.883770999999996,21.8825821,15.300305999999999,15.2945203
22.183777,22.1814065,15.483643000000004,15.4967932
22.467116000000004,22.4747487,15.700314000000002,15.6991979
22.783789,22.7886555,15.900318000000002,15.900485000000002
23.100462,23.1045717,16.100322000000002,16.113852
23.417135000000002,23.4086415,16.316993,16.316470700000004
23.717140999999998,23.716876,16.516997000000003,16.5182645
24.000479999999996,23.99881,16.717001000000003,16.720021699999997
24.300486,24.3098792,16.917005,16.922723400000002
24.600491999999996,24.6068469,17.133676,17.126308700000003
24.917165000000004,24.9229565,17.317013000000003,17.3292384
25.150503,25.1468528,17.533684,17.5438245
25.467176000000002,25.4668869,17.750355000000003,17.7450385
25.750515,25.7528642,17.950359000000002,17.949111799999997
26.050521000000003,26.0469942,18.16703,18.164678000000002
26.33386,26.3303382,18.367034000000004,18.365209200000002
26.650532999999996,26.6450135,18.567038,18.567675700000002
26.933871999999994,26.9339453,18.767042,18.7688725
27.233877999999997,27.2250142,18.967046,18.971804300000002
27.550551,27.5299865,19.183716999999998,19.186161
27.817223,27.8300813,19.383721,19.387793199999997
28.150563000000005,28.1512126,19.600392000000003,19.602976499999997
28.450568999999994,28.4561527,19.800396,19.805192499999997
28.767241999999996,28.777343600000002,20.017067,20.008245700000003
