browser_isolated,browser_isolated_async_work,browser_isolated_graphics,browser_isolated_video5,browser_unisolated,browser_unisolated_async_work,browser_unisolated_graphics,browser_unisolated_video5
0.0,0.0,0.0,0.0,0.0,0.0,0,0
97.0,115.5553,98.74000000000068,97.38000000000102,84.1880999999994,93.00560000001131,93,91
100.52000000000044,100.3188999999984,101.15999999999984,100.71999999999936,100.6833000000006,100.64289999999164,101,100
100.39999999999964,99.95329999999922,100.11999999999898,99.86000000000058,100.13690000000132,100.04880000000412,100,100
100.64000000000124,100.616,100.44000000000052,100.81999999999972,100.48330000000352,100.80419999999869,100,101
100.63999999999942,100.26480000000085,100.47999999999956,100.20000000000071,100.54499999999824,100.12980000000243,100,101
100.44000000000052,100.49090000000068,100.34000000000016,101.93999999999868,100.78499999999622,100.20649999999296,101,114
100.54000000000087,100.3988999999965,100.23999999999978,99.78000000000064,99.82190000000264,114.53889999999956,100,100
100.63999999999942,100.56070000000544,100.64000000000124,114.57999999999991,100.69499999999972,100.50210000000516,115,101
111.53999999999724,100.42039999999542,113.15999999999984,98.94000000000052,100.04559999999763,100.00330000000396,99,100
100.84000000000016,100.55700000000434,100.19999999999892,100.52000000000044,100.93250000000262,100.58929999999236,100,101
100.0,99.77119999999924,100.6200000000008,101.23999999999978,100.13150000000314,99.96340000000056,100,100
101.06000000000132,100.63690000000132,100.47999999999956,99.39999999999964,100.33750000000146,100.5231000000058,101,100
100.20000000000071,100.22759999999836,100.47999999999956,100.10000000000036,100.37979999999516,100.27769999999872,100,101
100.56000000000132,100.5673999999999,100.44000000000052,100.76000000000022,100.33660000000236,100.59679999999936,101,100
100.0,100.28919999999924,100.31999999999972,100.11999999999898,100.4135000000024,100.30910000000586,100,101
101.21999999999753,100.59619999999995,100.64000000000124,100.81999999999972,110.18359999999666,100.52149999999529,100,100
99.61999999999898,100.26540000000024,100.15999999999984,99.98000000000138,100.33639999999286,100.34590000000026,101,101
100.76000000000204,100.84860000000116,100.92000000000009,100.71999999999936,100.79850000000442,100.45470000000203,101,100
100.34000000000016,99.8731000000007,100.11999999999898,100.42000000000009,99.931700000001,100.21140000000014,100,101
100.81999999999972,100.66519999999582,100.76000000000022,100.39999999999964,100.35169999999924,100.36039999999775,101,100
100.57999999999812,100.29560000000129,100.07999999999991,100.20000000000071,100.47520000000075,100.20980000000418,100,100
100.2400000000016,100.39660000000003,100.70000000000071,100.97999999999956,100.14800000000103,100.96869999999036,101,101
100.68000000000028,100.15339999999924,100.42000000000009,99.73999999999978,114.691899999998,99.821400000008,100,101
100.84000000000016,100.55360000000292,100.21999999999936,100.76000000000022,100.62999999999738,100.5411999999924,100,101
100.02000000000044,100.11259999999676,100.31999999999972,101.11999999999898,116.18800000000192,100.19160000000556,100,100
100.55999999999769,107.5380000000041,100.54000000000087,99.92000000000009,116.754399999998,100.42849999999451,102,101
100.20000000000071,99.94119999999748,100.35999999999876,100.80000000000108,100.20310000000607,100.40239999999903,99,100
100.79999999999929,100.77479999999925,100.54000000000087,100.10000000000036,100.88149999999588,100.44800000000396,101,101
100.58000000000176,100.02309999999852,100.61999999999898,99.97999999999956,99.95279999999912,100.14080000000104,100,100
100.20000000000071,100.71910000000209,100.20000000000071,100.76000000000022,100.56880000000092,100.51030000000172,101,100
100.61999999999898,100.0750999999982,100.20000000000071,100.39999999999964,100.67009999999571,100.60930000000371,101,100
100.52000000000044,100.57710000000225,101.09999999999854,100.31999999999972,100.10400000000664,100.05019999999786,100,101
100.07999999999812,100.23389999999928,100.22000000000116,100.46000000000096,100.50039999999716,100.39929999999733,100,100
101.52000000000044,100.93509999999878,100.65999999999984,100.43999999999868,100.78020000000106,100.55249999999796,101,100
99.54000000000087,99.88860000000204,100.42000000000009,100.2400000000016,99.8321999999971,100.13850000000092,100,100
100.56000000000132,101.39140000000044,100.65999999999984,101.03999999999724,100.4334999999992,100.59769999999844,101,101
100.61999999999898,99.47990000000208,100.02000000000044,100.36000000000058,100.03250000000844,100.4163000000044,99,101
100.45999999999913,100.70469999999476,100.42000000000009,100.52000000000044,100.88659999999072,100.2126999999964,101,101
100.62000000000262,100.04910000000018,100.29999999999929,100.04000000000087,99.96020000000136,100.19030000000204,100,100
100.59999999999854,100.47230000000128,100.86000000000058,100.79999999999929,100.53680000000168,100.5413999999946,101,100
100.36000000000058,100.33260000000156,102.19999999999892,100.27999999999884,100.42199999999866,100.18070000000444,100,100
100.54000000000087,100.85450000000128,99.86000000000058,100.60000000000218,100.26200000000244,100.52880000000005,103,101
100.05999999999769,100.04169999999796,100.70000000000071,100.27999999999884,100.66990000000078,100.09449999999924,100,100
100.61999999999898,100.68350000000282,100.11999999999898,100.44000000000231,100.41300000000048,100.68019999999524,100,101
100.30000000000292,99.96129999999904,100.26000000000022,100.34000000000016,100.09590000000026,99.98860000000424,100,100
100.59999999999854,100.4471999999987,100.55999999999948,100.41999999999824,100.68800000000192,100.50510000000212,100,100
100.52000000000044,100.19610000000102,100.18000000000028,100.29999999999929,99.96019999999407,100.19400000000314,100,101
101.06000000000132,100.58810000000084,100.97999999999956,100.44000000000231,100.6244000000006,100.9354999999996,101,101
100.03999999999724,100.0731999999989,99.90000000000146,100.13999999999942,100.05490000000282,99.80809999999474,100,100
100.5,100.90849999999772,100.95999999999913,101.23999999999796,100.56119999999646,100.86610000000655,101,100
100.46000000000276,100.01429999999893,99.92000000000009,100.5,100.26390000000538,99.89579999999842,100,101
100.47999999999956,101.1487000000052,101.13999999999942,99.96000000000276,100.41569999999774,100.88519999999698,101,100
100.2599999999984,99.79129999999714,100.28000000000064,100.33999999999652,100.54740000000312,100.00489999999265,100,101
100.93999999999868,117.42150000000038,101.07999999999991,100.52000000000044,100.1270000000004,100.6840000000011,100,101
100.04000000000087,83.4429999999993,99.36000000000058,100.40000000000146,100.08150000000025,99.99490000000516,100,100
100.63999999999942,100.63110000000232,100.51999999999862,100.63999999999942,100.504399999998,100.62520000000222,101,100
100.34000000000016,100.10859999999592,100.28000000000064,100.20000000000071,100.2364000000016,100.02879999999276,101,101
100.31999999999972,100.83740000000034,100.78000000000064,100.45999999999913,100.63960000000225,100.67380000000412,100,100
100.40000000000146,100.09020000000235,100.34000000000016,100.2400000000016,100.09009999999398,100.18610000000626,100,100
101.04000000000087,100.66340000000127,100.3799999999992,100.52000000000044,100.48559999999998,100.29169999999432,100,101
100.11999999999898,99.89089999999852,100.02000000000044,100.18000000000028,100.44989999999962,100.37200000000304,101,100
101.26000000000204,101.51629999999932,100.73999999999978,100.55999999999769,100.39360000000306,100.5995999999941,100,102
100.09999999999854,99.40580000000044,100.34000000000016,100.81999999999972,100.2202999999936,100.08280000000376,101,99
100.77999999999884,100.91739999999844,100.76000000000022,100.29999999999929,100.4664000000048,100.40499999999884,100,101
100.56000000000132,100.0453000000016,100.71999999999936,100.08000000000176,100.1955999999991,100.17409999999654,100,100
100.38000000000102,100.6872000000003,100.44000000000052,100.88000000000102,100.97650000000432,100.56740000000718,101,101
100.11999999999898,100.17239999999948,99.86000000000058,100.02000000000044,99.8136999999988,100.28749999999854,101,100
101.04000000000087,100.53600000000006,100.5,100.7599999999984,100.69930000000022,100.56850000000122,100,100
100.97999999999956,100.36699999999836,100.33999999999833,101.68000000000028,100.0789999999979,100.0978999999934,100,100
99.36000000000058,100.4835000000021,100.60000000000036,98.95999999999913,117.9409999999989,100.49220000000788,100,101
100.35999999999694,100.3250999999982,100.64000000000124,100.40000000000146,116.23980000000302,100.31269999999496,100,101
100.9800000000032,101.17220000000088,100.53999999999904,100.37999999999738,100.46599999999307,100.4303,102,100
99.84000000000016,99.63040000000184,100.52000000000044,100.86000000000058,100.27709999999934,100.30019999999786,100,100
100.97999999999956,100.5118999999977,100.60000000000036,100.12000000000262,100.5109000000084,100.4974000000002,101,101
99.93999999999868,100.28260000000228,102.39999999999964,100.5199999999968,99.92989999999554,100.12890000000334,100,100
100.91999999999824,100.67199999999866,100.47999999999956,100.62000000000262,100.85050000000048,100.7548999999999,101,101
100.0,100.22279999999957,100.18000000000028,100.15999999999984,100.02990000000136,100.04789999999775,99,100
100.72000000000116,100.25849999999993,99.23999999999978,100.63999999999942,100.75749999999972,100.57360000000337,101,101
100.08000000000176,100.22999999999956,99.88000000000102,100.54000000000087,100.17819999999485,100.15110000000276,100,101
100.41999999999824,100.6105000000025,101.2599999999984,100.5,100.5080000000089,100.55839999999444,101,100
100.27999999999884,100.15699999999924,99.88000000000102,100.18000000000028,100.07559999999648,100.43179999999847,100,100
100.76000000000204,100.62670000000072,100.47999999999956,100.0,100.68540000000212,100.3260000000082,103,101
100.52000000000044,100.251400000001,100.08000000000176,100.37999999999738,99.96369999999295,100.33429999999498,100,100
100.63999999999942,100.48039999999672,101.07999999999812,100.40000000000146,100.91180000000168,100.40129999999772,100,101
100.2599999999984,100.50760000000082,100.38000000000102,100.18000000000028,99.84470000000874,100.13590000000112,100,100
100.28000000000247,100.50330000000032,100.21999999999753,100.63999999999942,100.96459999999206,100.95590000000084,100,100
100.7599999999984,100.16339999999764,100.38000000000102,100.29999999999929,100.09070000000064,99.87780000000204,101,101
100.40000000000146,100.82830000000104,100.60000000000218,100.42000000000188,100.56999999999972,100.56930000000284,100,101
100.27999999999884,99.92120000000068,100.41999999999824,100.13999999999942,100.13040000000184,99.96929999999702,100,100
100.95999999999913,101.10559999999896,100.61999999999898,100.63999999999942,100.56519999999728,100.38709999999992,100,102
100.44000000000231,100.08699999999952,100.08000000000176,99.97999999999956,100.65649999999732,100.37799999999696,101,100
100.53999999999724,100.10770000000412,100.57999999999812,100.70000000000071,100.17230000000563,100.50050000000192,101,99
100.4800000000032,100.33779999999751,100.30000000000292,100.2400000000016,100.22449999999662,100.21140000000014,100,101
100.5199999999968,100.49430000000211,100.77999999999884,100.37999999999738,100.49250000000028,100.80240000000047,100,101
100.2400000000016,100.39489999999569,100.15999999999984,100.26000000000204,100.1895000000004,100.1131000000023,100,100
100.77999999999884,100.56460000000152,100.86000000000058,100.5,100.45070000000123,100.6298999999999,101,102
100.28000000000247,100.34019999999872,99.91999999999824,100.7599999999984,100.1010000000024,99.94549999999435,101,99
100.53999999999724,100.40830000000278,100.60000000000218,102.20000000000071,100.83489999999438,100.47610000000714,100,100
100.18000000000028,100.53830000000016,100.57999999999812,98.5,100.2039000000077,100.5211999999956,100,101
100.84000000000016,100.53280000000086,100.29999999999929,100.52000000000044,100.99689999999828,100.30720000000292,101,100
100.18000000000028,99.96839999999791,100.46000000000276,99.89999999999782,99.83789999999864,100.1047999999937,100,101
101.13999999999942,100.5097999999998,100.63999999999942,102.15999999999984,100.7829000000056,100.65430000000195,100,100
99.92000000000188,100.05329999999958,100.21999999999753,99.26000000000204,99.8920999999973,99.93560000000434,100,100
100.86000000000058,100.53420000000187,100.42000000000188,100.52000000000044,100.65069999999103,100.41579999999522,101,101
100.09999999999854,100.23169999999664,100.81999999999972,100.37999999999738,100.07240000000456,100.5731999999989,100,100
100.38000000000102,100.56640000000334,100.2400000000016,100.66000000000348,100.65750000000116,100.454899999997,101,101
100.36000000000058,100.33919999999851,100.31999999999972,100.07999999999812,100.03979999999864,100.5992000000042,101,99
100.53999999999724,100.4349000000002,100.52000000000044,100.79999999999929,100.5737999999983,100.01840000000084,99,101
101.4800000000032,99.8680000000022,100.21999999999753,100.18000000000028,100.10690000000614,100.39770000000136,101,101
100.0199999999968,101.05789999999617,100.42000000000188,100.63999999999942,100.66109999999752,100.35499999999593,100,101
100.28000000000247,99.9987000000001,100.65999999999984,100.26000000000204,100.29499999999824,100.19460000000254,100,102
100.47999999999956,100.45980000000054,102.87999999999738,100.43999999999868,100.51260000000184,100.47110000000248,101,99
100.11999999999898,100.27250000000276,100.0,100.38000000000102,100.37409999999365,100.11149999999908,101,100
100.61999999999898,100.59469999999784,99.90000000000146,100.31999999999972,100.6869000000006,100.80289999999512,100,101
116.56000000000132,100.27560000000084,99.76000000000204,100.54000000000087,99.94780000000172,99.87279999999735,100,100
118.52000000000044,100.80909999999858,100.21999999999753,101.36000000000058,100.81520000000457,100.65540000000328,101,101
98.97999999999956,100.14340000000084,99.81999999999972,99.71999999999753,99.82099999999627,100.02650000000722,100,100
115.93999999999868,100.53880000000208,100.63999999999942,101.90000000000146,100.67309999999998,100.53759999999602,101,101
100.30000000000292,100.2648999999983,100.20000000000071,99.0,100.37389999999868,117.72329999999783,100,99
101.15999999999984,100.40099999999802,101.0,100.29999999999929,100.38860000000568,83.42440000000352,101,102
99.93999999999868,100.2393000000011,100.12000000000262,100.31999999999972,100.66539999999804,100.0483000000022,102,99
100.59999999999854,100.96440000000077,101.03999999999724,100.92000000000188,100.30769999999757,100.60050000000048,101,101
100.28000000000247,100.2461000000003,100.22000000000116,101.84000000000016,100.29120000000694,99.96379999999772,100,101
100.53999999999724,100.15230000000156,100.11999999999898,99.27999999999884,100.47099999999772,100.5908999999956,101,101
100.54000000000087,100.34339999999791,100.5,99.95999999999913,100.27610000000276,100.2129999999961,100,99
100.84000000000016,100.54460000000108,100.31999999999972,101.88000000000102,100.45299999999406,101.13310000000638,100,101
100.20000000000071,100.32589999999982,100.44000000000231,100.91999999999824,100.48879999999916,99.46719999999914,101,101
100.79999999999929,100.87739999999758,100.73999999999796,98.81999999999972,100.65899999999964,100.8150999999998,100,100
99.94000000000231,99.79249999999956,100.38000000000102,100.70000000000071,99.86839999999938,100.04920000000128,101,100
100.93999999999868,100.52570000000196,100.68000000000028,100.95999999999913,100.51390000000538,100.29639999999928,100,101
100.2599999999984,100.259399999999,100.38000000000102,99.86000000000058,100.13289999999688,100.15570000000298,101,100
100.34000000000016,100.52249999999913,100.59999999999854,100.40000000000146,100.761599999998,100.5708999999988,100,101
100.40000000000146,100.47140000000218,100.47999999999956,101.09999999999854,100.32610000000568,100.04409999999916,101,100
100.52000000000044,100.36039999999775,100.45999999999913,99.5,100.58669999999984,100.66669999999432,101,100
100.54000000000087,106.97370000000228,100.14000000000306,100.62000000000262,100.0390999999945,100.12040000000708,99,101
100.55999999999769,100.63829999999872,100.89999999999782,101.61999999999898,100.55610000000888,100.53889999999956,101,100
100.52000000000044,116.19100000000252,100.08000000000176,100.18000000000028,100.85319999999048,100.21800000000076,100,100
100.38000000000102,100.45179999999893,100.53999999999724,99.63999999999942,100.42250000000058,100.29000000000087,101,101
100.27999999999884,100.11059999999998,100.30000000000292,100.0,100.24779999999735,100.2563999999984,100,100
101.04000000000087,100.56820000000153,100.63999999999942,100.73999999999796,100.675900000002,100.66990000000078,101,101
99.72000000000116,100.22569999999904,100.09999999999854,100.2400000000016,100.1834999999992,100.21599999999307,99,100
100.53999999999724,100.58469999999944,100.44000000000231,100.59999999999854,100.8498000000036,100.38760000000912,102,101
100.38000000000102,100.11290000000008,100.07999999999812,100.34000000000016,99.81620000000112,100.29169999999432,100,100
100.45999999999913,100.56980000000112,101.02000000000044,100.42000000000188,100.4832000000024,100.56680000000053,100,106
100.06000000000132,100.31189999999695,99.79999999999929,100.43999999999868,100.48219999999856,100.38040000000184,100,100
100.72000000000116,100.64170000000011,100.63999999999942,101.95999999999913,100.20379999999568,100.51120000000084,102,102
100.47999999999956,100.26310000000012,100.20000000000071,99.04000000000087,100.55470000000788,116.58039999999892,100,100
100.77999999999884,100.51040000000285,103.08000000000176,100.34000000000016,100.29499999999098,100.46889999999983,100,100
99.84000000000016,100.22839999999633,97.97999999999956,100.27999999999884,103.08970000000409,100.37539999999716,100,100
100.68000000000028,100.71039999999994,103.02000000000044,100.5,100.69480000000476,100.4297000000006,101,100
100.15999999999984,99.95760000000156,99.19999999999708,100.5,99.66539999999804,100.41730000000098,105,101
101.06000000000132,100.42150000000038,99.80000000000292,100.66000000000348,100.67839999999704,100.61450000000332,100,100
100.13999999999942,100.23730000000069,100.61999999999898,100.2599999999984,100.33469999999944,99.95159999999304,100,100
100.2599999999984,100.40529999999852,99.88000000000102,100.54000000000087,100.4928,100.57120000000576,101,100
100.52000000000044,100.22170000000187,100.39999999999782,103.21999999999753,100.17550000000485,100.04409999999916,100,101
100.65999999999984,100.59560000000056,100.88000000000102,116.90000000000146,100.62779999999476,100.7364000000016,100,101
100.54000000000087,100.34000000000016,100.18000000000028,100.18000000000028,99.975400000003,100.28689999999187,100,100
100.91999999999824,100.52950000000055,100.70000000000071,100.70000000000071,100.44870000000084,100.41990000000806,101,100
100.0,100.3754000000008,100.21999999999753,115.55999999999769,100.27559999999356,100.18669999999838,100,100
100.72000000000116,100.87889999999608,100.70000000000071,100.47999999999956,100.82680000000256,100.62689999999566,101,101
100.04000000000087,99.88940000000366,100.40000000000146,100.2400000000016,100.04989999999816,100.17380000000412,101,100
101.38000000000102,100.8212999999996,100.43999999999868,100.92000000000188,100.32660000000033,100.50160000000324,100,101
99.83999999999652,99.99829999999564,100.11999999999898,100.07999999999812,100.74500000000262,105.0766999999978,100,100
100.58000000000176,100.6111000000019,100.54000000000087,101.0,100.08619999999792,95.691899999998,101,101
100.2599999999984,100.2113999999965,100.36000000000058,100.06000000000132,100.74409999999624,100.72589999999764,100,100
100.54000000000087,100.4503000000077,100.45999999999913,100.68000000000028,100.25140000000827,100.12019999999757,101,101
100.72000000000116,100.04669999999896,100.28000000000247,101.55999999999769,100.42429999999877,100.22240000000602,99,100
100.47999999999956,100.80409999999756,100.63999999999942,101.34000000000016,100.24409999999624,100.4513999999981,101,101
100.41999999999824,100.2961999999934,100.21999999999753,98.72000000000116,100.35710000000108,100.3159999999989,100,100
100.41999999999824,100.8963000000076,100.86000000000058,100.70000000000071,100.84900000000198,100.34960000000136,101,100
100.38000000000466,100.01699999999984,100.18000000000028,100.13999999999942,100.02620000000024,100.25239999999758,100,100
100.63999999999942,100.45969999999944,100.5,100.70000000000071,100.63119999999616,100.3018000000011,100,102
100.40000000000146,100.170100000003,100.47999999999956,100.11999999999898,100.0926000000036,100.26380000000064,101,99
100.69999999999708,102.85779999999068,100.26000000000204,100.77999999999884,100.73019999999816,100.48189999999886,100,101
100.23999999999796,100.0619000000006,100.34000000000016,100.34000000000016,100.1298999999999,100.26170000000276,101,101
100.74000000000524,100.68380000000616,100.63999999999942,100.7400000000016,100.52640000000248,100.35169999999924,100,100
100.39999999999418,100.244200000001,100.29999999999929,99.97999999999956,100.38829999999872,100.23500000000058,101,100
100.54000000000087,100.59419999999228,100.52000000000044,102.41999999999824,100.32200000000012,100.69550000000164,101,101
100.34000000000378,100.2146000000066,100.06000000000132,100.0,100.43299999999726,100.0604999999996,99,100
100.81999999999972,117.60369999999966,101.05999999999769,100.81999999999972,100.65039999999864,100.81649999999354,101,100
100.5,83.12870000000112,99.72000000000116,98.94000000000231,100.05060000000958,99.90800000000309,100,102
100.76000000000204,100.66929999999412,100.55999999999769,100.5,100.59229999998934,100.54880000000412,101,100
100.31999999999972,99.9872000000032,100.54000000000087,100.23999999999796,100.1533000000054,100.280399999996,100,100
100.33999999999652,100.84210000000166,100.45999999999913,100.56000000000132,100.90869999999995,100.67599999999948,101,101
100.68000000000028,99.85609999999724,100.34000000000016,100.43999999999868,100.05879999999888,99.89170000000011,99,100
100.72000000000116,100.66400000000432,100.82000000000336,100.78000000000247,100.26580000000104,100.84679999999936,101,101
