browser_natural,os_natural,browser_machine,os_machine
0.0,0.0,0.0,0.0
0.47710500001907263,0.4770443999999996,0.2004600000381469,0.20091970000000003
0.9647699999809269,0.9652312999999992,0.40202500009536735,0.40229530000000047
1.403664999961853,1.4040991999999992,0.6030950000286097,0.6035284000000001
1.876819999933243,1.8772075999999993,0.8044600000381479,0.8050180000000005
2.308015000104904,2.308288599999999,1.0087149999141687,1.0091392
2.7448199999332417,2.745440199999999,1.2115,1.2119050000000007
3.165734999895095,3.165481699999999,1.4119700000286102,1.4126921000000001
3.594180000066757,3.594395799999999,1.6163350000381467,1.6172381000000007
4.003240000009537,4.0035566,1.8217950000762935,1.8224314000000001
4.427960000038146,4.428524399999999,2.023250000000001,2.0235119
4.847960000038146,4.8484996,2.2246400001049036,2.2250460000000007
5.249680000066757,5.249699099999999,2.4269600000381466,2.4271867
5.656249999999998,5.656639,2.6276299998760217,2.6279340000000007
6.060400000095369,6.060828299999999,2.8303849999904624,2.8308441
6.477855000019074,6.477825899999999,3.032269999980926,3.0325864000000005
6.867654999971391,6.868722099999999,3.234964999914169,3.2352745
7.276249999999999,7.276742299999999,3.43741000008583,3.437376900000001
7.707289999961853,7.7080146,3.6531600000858298,3.653029000000001
8.123384999990462,8.1238941,3.8535799999237064,3.8540411000000008
8.530805000066758,8.5312191,4.055545000076293,4.056013000000001
8.992444999933243,8.9930515,4.260450000047683,4.260719600000001
9.4325,9.433023799999999,4.463085000038147,4.4634922999999995
9.874549999952317,9.8750203,4.665045000076294,4.6651225
10.321884999990464,10.323,4.866720000028609,4.867005400000001
10.758295000076293,10.7592156,5.082254999876023,5.0829522
11.23000500011444,11.230426099999999,5.284150000095368,5.2843653
11.705964999914167,11.7064158,5.486140000104903,5.485842900000001
12.13752999997139,12.138457200000001,5.702214999914169,5.702040000000001
12.61491000008583,12.6154039,5.904484999895095,5.9045443
13.072974999904632,13.073486899999999,6.106710000038147,6.106573700000001
13.524484999895096,13.524693,6.30803500008583,6.308372900000001
14.015424999952314,14.0156591,6.508339999914169,6.5087567
14.508124999999998,14.508616100000001,6.709515000104904,6.7097934
15.001535000085829,15.001961599999998,6.912579999923706,6.913005300000001
15.494394999980925,15.494901299999999,7.127599999904632,7.128059600000001
15.992990000009536,15.992944099999999,7.329585000038147,7.3298926
16.46755999994278,16.4680368,7.5304649999141695,7.530560200000001
16.937460000038143,16.9378997,7.732470000028609,7.7322791
17.404285000085828,17.4049086,7.947069999933243,7.9473783
17.927994999885556,17.9281645,8.149210000038147,8.149587799999999
18.40175,18.4022345,8.35006500005722,8.350651500000001
18.88338499999046,18.8832605,8.553964999914168,8.554377500000001
19.352704999923702,19.3531977,8.756009999990463,8.756453100000002
19.850255000114437,19.8511673,8.95756500005722,8.958248000000001
20.300944999933243,20.3014193,9.160299999952317,9.1606791
20.749779999971388,20.7504467,9.362140000104903,9.362988600000001
21.244079999923706,21.2445557,9.564890000104905,9.5652632
21.72899000000953,21.7295144,9.767295000076293,9.7676597
22.210474999904633,22.2106459,9.967809999942778,9.968113299999999
22.680394999980926,22.681466,10.169055000066757,10.1691778
23.20247499990463,23.202774299999998,10.384490000009537,10.3848007
23.644144999980924,23.6446358,10.58656500005722,10.586772
24.114954999923704,24.114918799999998,10.786980000019073,10.787413700000002
24.547244999885557,24.5478104,10.988180000066757,10.9886147
25.015505000114437,25.0160135,11.190619999885557,11.1909478
25.435634999990462,25.4359905,11.392420000076294,11.392388699999998
25.893305000066754,25.893939,11.608450000047684,11.6082508
26.345069999933237,26.3459061,11.808960000038146,11.8092982
26.779900000095367,26.7809615,12.010164999961853,12.0104027
27.19568000006676,27.1960978,12.213724999904633,12.214043199999999
27.612940000057215,27.613226,12.414450000047685,12.414783799999999
27.985769999980924,27.9862692,12.617779999971388,12.6181928
28.363369999885556,28.364078199999998,12.819319999933244,12.819763599999998
28.685930000066755,28.686220799999997,13.022170000076292,13.022598200000001
29.039275000095365,29.039415899999998,13.23725499987602,13.2379803
29.357609999895097,29.358360700000002,13.44083999991417,13.4412405
29.697880000114438,29.6983786,13.642275000095369,13.642693999999999
30.008075000047683,30.0084409,13.845234999895096,13.845632899999998
30.357349999904628,30.3583886,14.048079999923706,14.048055899999998
30.72980999994278,30.730348600000003,14.24852999997139,14.248900199999998
31.06013000011444,31.060541500000003,14.449875,14.4502977
31.37995000004768,31.3804281,14.651984999895097,14.652260299999998
31.719230000019074,31.719729599999997,14.852079999923705,14.852739
32.06008500003814,32.060767,15.066654999971389,15.0670294
32.40777999997139,32.4087906,15.270730000019073,15.271673700000001
32.74728500008583,32.7476362,15.474045000076293,15.4741654
33.087390000104904,33.087874400000004,15.676349999904632,15.676569399999998
33.42747499990463,33.427999099999994,15.877390000104905,15.877740199999998
33.777285000085826,33.777868100000006,16.079865000009534,16.0801989
34.13172000002861,34.132040399999994,16.295394999980928,16.295706799999998
34.477059999942774,34.476950900000006,16.49606500005722,16.4969347
34.85353999996185,34.853876,16.69773000001907,16.698161
35.307539999961854,35.308004800000006,16.91285500001907,16.9132308
35.688640000104904,35.6891009,17.115634999990462,17.1165457
36.08567499995232,36.086226100000005,17.318325000047686,17.318704399999998
36.50269499993324,36.50308029999999,17.520365000009534,17.5207584
36.98179500007629,36.98206209999999,17.736484999895097,17.7366362
37.395865000009536,37.396257199999994,17.93721499991417,17.9376985
37.82004999995232,37.820423000000005,18.139674999952312,18.140128
38.203019999980924,38.2032454,18.34222000002861,18.3424591
38.63203999996185,38.632449699999995,18.542815000057217,18.5431903
