,0,Missclassifications,Error
a2,62,358,85.23809523809523
a3,71,349,83.09523809523809
a4,69,351,83.57142857142857
a23,93,327,77.85714285714285
a24,85,335,79.76190476190476
a34,94,326,77.61904761904762
a234,100,320,76.19047619047619
r2,336,84,20.0
r3,345,75,17.857142857142858
r4,332,88,20.952380952380953
r23,353,67,15.95238095238095
r24,351,69,16.428571428571427
r34,350,70,16.666666666666664
r234,362,58,13.809523809523808
r2_a2,334,86,20.476190476190474
r2_a23,322,98,23.333333333333332
r2_a24,315,105,25.0
r2_a234,305,115,27.38095238095238
r23_a2,352,68,16.19047619047619
r23_a23,346,74,17.619047619047617
r23_a24,344,76,18.095238095238095
r23_a234,335,85,20.238095238095237
r234_a2,357,63,15.0
r234_a23,359,61,14.523809523809524
r234_a24,354,66,15.714285714285714
r234_a234,352,68,16.19047619047619
