,0,Missclassifications,Error
a2,244,176,41.904761904761905
a3,241,179,42.61904761904761
a4,212,208,49.52380952380952
a23,291,129,30.71428571428571
a24,275,145,34.52380952380952
a34,256,164,39.047619047619044
a234,291,129,30.71428571428571
r2,387,33,7.857142857142857
r3,387,33,7.857142857142857
r4,370,50,11.904761904761903
r23,391,29,6.904761904761904
r24,397,23,5.476190476190476
r34,387,33,7.857142857142857
r234,395,25,5.952380952380952
r2_a2,393,27,6.428571428571428
r2_a23,394,26,6.19047619047619
r2_a24,394,26,6.19047619047619
r2_a234,390,30,7.142857142857142
r23_a2,398,22,5.238095238095238
r23_a23,399,21,5.0
r23_a24,401,19,4.523809523809524
r23_a234,398,22,5.238095238095238
r234_a2,398,22,5.238095238095238
r234_a23,398,22,5.238095238095238
r234_a24,398,22,5.238095238095238
r234_a234,397,23,5.476190476190476
