,0,Missclassifications,Error
a2,94,326,77.61904761904762
a3,88,332,79.04761904761904
a4,106,314,74.76190476190476
a23,119,301,71.66666666666666
a24,128,292,69.52380952380952
a34,121,299,71.19047619047619
a234,138,282,67.14285714285714
r2,351,69,16.428571428571427
r3,355,65,15.476190476190474
r4,343,77,18.333333333333332
r23,362,58,13.809523809523808
r24,366,54,12.857142857142856
r34,357,63,15.0
r234,371,49,11.666666666666666
r2_a2,347,73,17.38095238095238
r2_a23,340,80,19.047619047619047
r2_a24,338,82,19.523809523809522
r2_a234,326,94,22.38095238095238
r23_a2,362,58,13.809523809523808
r23_a23,356,64,15.238095238095237
r23_a24,355,65,15.476190476190474
r23_a234,347,73,17.38095238095238
r234_a2,371,49,11.666666666666666
r234_a23,369,51,12.142857142857142
r234_a24,364,56,13.333333333333332
r234_a234,361,59,14.047619047619047
