,0,Missclassifications,Error
a2,50,370,88.09523809523809
a3,53,367,87.38095238095238
a4,86,334,79.52380952380952
a23,50,370,88.09523809523809
a24,84,336,80.0
a34,81,339,80.71428571428571
a234,68,352,83.80952380952381
r2,321,99,23.57142857142857
r3,338,82,19.523809523809522
r4,323,97,23.095238095238095
r23,345,75,17.857142857142858
r24,353,67,15.95238095238095
r34,347,73,17.38095238095238
r234,357,63,15.0
r2_a2,320,100,23.809523809523807
r2_a23,314,106,25.238095238095237
r2_a24,331,89,21.19047619047619
r2_a234,316,104,24.76190476190476
r23_a2,345,75,17.857142857142858
r23_a23,340,80,19.047619047619047
r23_a24,346,74,17.619047619047617
r23_a234,343,77,18.333333333333332
r234_a2,356,64,15.238095238095237
r234_a23,354,66,15.714285714285714
r234_a24,358,62,14.761904761904761
r234_a234,354,66,15.714285714285714
