,0,Missclassifications,Error
a2,95,325,77.38095238095238
a3,126,294,70.0
a4,119,301,71.66666666666666
a23,134,286,68.09523809523809
a24,126,294,70.0
a34,158,262,62.38095238095238
a234,143,277,65.95238095238095
r2,364,56,13.333333333333332
r3,369,51,12.142857142857142
r4,347,73,17.38095238095238
r23,375,45,10.714285714285714
r24,377,43,10.238095238095237
r34,369,51,12.142857142857142
r234,379,41,9.761904761904761
r2_a2,354,66,15.714285714285714
r2_a23,355,65,15.476190476190474
r2_a24,349,71,16.904761904761905
r2_a234,347,73,17.38095238095238
r23_a2,373,47,11.19047619047619
r23_a23,375,45,10.714285714285714
r23_a24,369,51,12.142857142857142
r23_a234,371,49,11.666666666666666
r234_a2,378,42,10.0
r234_a23,378,42,10.0
r234_a24,380,40,9.523809523809524
r234_a234,380,40,9.523809523809524
