,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,0,0,0,0,0,0,0,11,13,13,15,14,14,14,9,7,8,3,12,12,11,10,13,14,13,13
1,0,0,0,0,0,0,0,1,1,3,1,2,3,2,2,2,3,1,1,2,2,2,2,2,2,2
2,0,0,0,0,0,0,0,1,6,6,3,4,7,4,1,1,1,1,3,2,2,1,4,4,4,4
3,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,12,15,15,15,15,15,15,15,15
4,0,0,0,0,0,0,0,14,15,15,15,15,15,15,13,12,12,11,15,15,15,15,15,15,15,15
5,1,3,7,3,2,6,4,13,2,1,5,3,2,2,12,14,13,14,5,6,6,6,2,2,2,2
6,0,2,1,1,0,0,0,15,15,13,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
7,5,0,3,1,6,0,3,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,1,1,1,0,0,1,0,14,12,7,15,13,12,14,14,13,14,13,15,15,15,15,14,14,14,14
9,15,15,14,15,15,15,15,15,13,15,14,15,15,15,15,15,15,15,14,15,14,15,15,15,15,15
10,9,12,14,14,14,14,14,12,13,14,13,13,14,13,13,13,13,14,13,13,13,14,13,14,14,14
11,0,0,0,0,0,0,0,10,13,15,12,15,15,15,10,7,8,3,13,12,12,12,15,15,15,15
12,5,9,14,11,13,12,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,1,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,0,0,0,0,0,0,0,2,4,4,4,6,5,4,5,0,2,0,4,4,4,3,5,5,4,4
15,0,0,1,0,0,0,0,15,15,14,15,15,15,15,15,14,15,14,15,15,15,15,15,15,15,15
16,0,1,4,0,0,5,0,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,0,0,9,0,2,4,0,14,14,13,15,15,14,15,14,15,14,15,15,15,15,15,15,15,15,15
18,0,0,0,0,0,0,0,12,7,6,13,12,7,12,10,7,9,4,12,11,11,10,12,12,12,11
19,1,0,0,0,0,0,0,15,14,11,15,15,14,15,15,12,14,9,15,15,15,15,15,15,15,15
20,11,0,0,7,1,0,0,11,13,10,14,13,11,14,13,12,12,10,14,14,14,14,14,14,13,13
21,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,12,12,10,15,15,15,15,15,15,15,15
22,3,0,3,1,5,0,1,14,14,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
23,0,0,0,0,0,0,0,15,15,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,1,11,10,10,9,13,11,9,13,12,13,13,12,13,9,14,13,14,13,14,14,15,13,13,14,15
25,0,0,5,0,0,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
26,3,0,1,0,2,0,1,13,13,12,13,13,11,13,13,12,13,13,13,13,13,12,13,13,13,13
27,0,0,5,0,0,0,0,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15
