,0,Missclassifications,Error
a2,159,261,62.14285714285714
a3,170,250,59.52380952380952
a4,198,222,52.857142857142854
a23,185,235,55.95238095238095
a24,211,209,49.76190476190476
a34,219,201,47.857142857142854
a234,220,200,47.61904761904761
r2,388,32,7.619047619047619
r3,386,34,8.095238095238095
r4,366,54,12.857142857142856
r23,391,29,6.904761904761904
r24,396,24,5.7142857142857135
r34,384,36,8.571428571428571
r234,394,26,6.19047619047619
r2_a2,384,36,8.571428571428571
r2_a23,385,35,8.333333333333332
r2_a24,388,32,7.619047619047619
r2_a234,382,38,9.047619047619047
r23_a2,395,25,5.952380952380952
r23_a23,394,26,6.19047619047619
r23_a24,396,24,5.7142857142857135
r23_a234,393,27,6.428571428571428
r234_a2,395,25,5.952380952380952
r234_a23,395,25,5.952380952380952
r234_a24,395,25,5.952380952380952
r234_a234,392,28,6.666666666666666
