,0,Missclassifications,Error
a2,56,364,86.66666666666666
a3,54,366,87.14285714285714
a4,92,328,78.09523809523809
a23,63,357,85.0
a24,69,351,83.57142857142857
a34,71,349,83.09523809523809
a234,62,358,85.23809523809523
r2,346,74,17.619047619047617
r3,345,75,17.857142857142858
r4,329,91,21.666666666666664
r23,360,60,14.285714285714285
r24,361,59,14.047619047619047
r34,349,71,16.904761904761905
r234,360,60,14.285714285714285
r2_a2,347,73,17.38095238095238
r2_a23,332,88,20.952380952380953
r2_a24,341,79,18.80952380952381
r2_a234,311,109,25.952380952380953
r23_a2,357,63,15.0
r23_a23,358,62,14.761904761904761
r23_a24,356,64,15.238095238095237
r23_a234,354,66,15.714285714285714
r234_a2,360,60,14.285714285714285
r234_a23,362,58,13.809523809523808
r234_a24,360,60,14.285714285714285
r234_a234,360,60,14.285714285714285
