,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,0,0,0,0,0,0,0,9,14,13,14,15,14,15,9,3,4,2,13,11,11,10,15,15,15,14
1,0,0,0,0,0,0,0,2,1,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,1,7,6,2,4,7,4,1,1,1,0,1,1,1,1,4,4,4,4
3,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,13,15,13,15,15,15,15,15,15,15,15
4,15,3,0,15,15,13,15,14,15,13,15,15,15,15,14,14,14,14,15,15,15,15,15,15,15,15
5,6,6,3,6,7,6,5,14,2,1,5,3,2,3,14,14,14,14,5,7,5,7,3,3,3,3
6,0,0,9,0,0,2,0,15,15,15,15,15,15,15,12,11,15,12,15,14,15,15,15,15,15,15
7,8,2,6,6,9,3,8,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
8,10,10,6,15,12,11,14,13,14,9,15,13,12,13,15,15,15,15,15,15,15,15,14,14,15,15
9,13,12,8,14,13,12,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
10,2,2,14,9,14,14,14,12,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14
11,3,1,0,1,0,0,0,12,12,15,13,15,15,15,11,12,9,9,14,13,13,13,15,15,15,15
12,1,8,12,1,3,12,4,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
13,0,0,0,0,0,0,0,15,15,15,15,15,15,15,14,14,14,14,15,15,15,15,15,15,15,15
14,1,9,0,7,0,2,4,2,6,7,4,5,9,6,3,7,2,6,5,5,3,5,6,9,6,7
15,2,3,3,3,4,5,4,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,9,7,7,11,9,9,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,7,0,5,3,7,3,4,15,15,12,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15
18,0,1,0,0,0,0,0,12,7,7,13,14,9,13,12,12,11,10,13,12,12,12,13,13,13,12
19,0,1,1,1,1,2,1,14,15,14,15,15,15,15,14,14,14,14,15,15,15,15,15,15,15,15
20,0,13,0,5,0,9,1,11,14,10,13,15,13,15,12,15,13,14,13,15,14,14,15,15,15,15
21,0,3,0,1,0,1,0,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
22,1,1,5,1,3,5,2,13,15,14,14,15,15,15,13,13,13,13,14,15,14,14,15,15,15,15
23,3,1,1,3,1,2,3,15,15,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
24,0,1,5,0,1,8,2,10,13,14,13,14,15,14,10,13,11,14,13,14,14,14,15,15,15,15
25,2,3,5,3,5,7,7,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
26,2,4,3,4,5,5,6,13,14,12,14,13,13,13,12,13,12,12,14,14,14,14,13,14,13,14
27,6,12,12,9,10,14,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
