Unnamed: 0,a2,a3,a4,a23,a24,a34,a234,r2,r3,r4,r23,r24,r34,r234,r2_a2,r2_a23,r2_a24,r2_a234,r23_a2,r23_a23,r23_a24,r23_a234,r234_a2,r234_a23,r234_a24,r234_a234
0,1,8,3,1,4,10,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,-2,2,9,-2,2,7,4,0,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-4,0,3,-3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-3,4,2,-1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,1,12,1,6,4,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0,3,4,3,3,3,3,-1,0,0,0,1,0,0,0,-1,-1,-1,0,2,1,1,0,0,0,0
0,4,10,5,1,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,-1,8,2,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,6,-2,-1,1,-2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,6,12,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,5,0,5,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0
0,9,8,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,4,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,14,4,5,0,2,0,0,0,0,0,1,0,0,2,2,0,0,2,2,0,0,1,1,0,0
0,-2,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
0,3,1,2,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0,1,2,6,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,10,5,13,6,5,6,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,3,4,1,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,14,10,12,10,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,14,4,13,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,6,6,4,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,1,2,7,4,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,-4,3,1,-5,1,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0
0,4,7,4,6,7,4,6,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
0,2,3,4,1,1,3,1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0
0,0,4,-1,3,-3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,4,2,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
