browser_isolated,browser_unisolated
0.0,0.0
99.22998899999584,90.34936299999936
100.1392040000028,100.60592999999972
100.18103100000008,100.39213500000004
100.3414309999971,99.78044299999785
100.44160499999998,100.3640860000014
100.42083100000308,100.46078200000012
100.40022099999987,100.27076400000078
100.43151500000022,100.56999299999916
100.37854700000024,100.552952
100.52650899999936,100.07067599999937
100.5293559999991,100.33970000000043
100.22229499999958,100.31716400000003
100.31554799999869,100.5127850000008
100.58911200000148,100.43148999999904
100.18175999999949,100.38268199999948
100.5718420000012,100.3215280000004
100.31711399999767,100.40013900000122
100.4738520000028,100.49307299999964
100.61260400000174,100.24704399999972
100.17733899999804,100.46712500000103
100.59272700000292,100.4568049999998
100.46341799999573,100.51772900000104
100.46920600000158,100.83072699999684
100.50171999999657,100.00239400000282
100.20374600000288,100.3065400000014
100.39681399999972,100.4213479999962
100.46595200000228,100.26767100000144
100.54560800000036,100.41763599999832
100.25739600000088,100.33708100000148
100.36389499999495,100.60183699999834
100.36882200000036,100.2731160000003
100.3266220000005,100.33266000000368
100.5416010000008,100.11664799999562
100.13222200000018,100.45138100000258
100.45324099999924,100.30902499999866
100.31235399999788,100.41328500000236
100.64841300000262,100.338241999998
100.40676299999905,100.38284799999748
100.59965899999952,100.58369400000085
100.53893199999948,100.52816800000072
100.36575600000288,100.15486200000304
100.09793799999898,100.33878099999856
100.2434659999999,100.54647699999988
100.93491999999968,100.37552499999948
100.00456100000156,100.24004699999932
100.31686699999771,100.42270300000018
100.3653290000002,100.40034100000048
100.4961170000024,100.3203880000001
100.32579299999998,100.31979499999944
100.70285499999954,100.7611930000021
100.29708899999969,100.3512520000004
100.41034199999922,100.29154199999904
100.46171700000195,100.50740099999894
100.50517899999976,100.49790600000053
100.35535600000004,100.61540199999943
100.20385100000205,100.41051399999924
100.58705299999563,100.34550200000012
100.35750500000358,100.44159299999956
100.51070799999798,100.45116100000088
100.38261799999964,100.29806800000006
100.28212699999858,100.50965200000064
100.5565490000008,100.22434499999872
100.56410600000164,100.38975500000016
100.1293459999979,103.10854200000176
100.52941900000224,100.14929899999696
100.27395999999862,100.40613099999972
100.52874899999732,100.2586590000028
100.29319599999872,100.20444900000076
100.4062290000038,100.7048419999992
100.00139899999704,100.37756999999692
100.56870200000412,100.43180600000414
100.52700299999924,100.41739299999608
100.25211500000296,100.32252900000458
100.44259600000078,100.5028569999995
100.24653999999646,100.22582399999736
100.39895000000251,100.39136700000016
100.27658099999826,100.27009700000052
100.72165099999984,100.66718700000274
100.15352100000018,100.26282199999696
100.56841200000054,100.54360900000393
100.29868300000088,100.30805199999668
100.92723999999724,100.23895099999936
99.7278559999977,100.46130999999878
100.59178699999757,100.21846800000276
100.00896100000682,100.44479100000171
100.51792199999907,100.36686799999734
100.64856199999484,100.59951100000036
100.29386599999998,100.32961000000068
100.27127800000017,100.25345400000153
100.43285200000535,100.32006299999556
100.68328800000018,100.46389100000306
100.30414200000088,100.35967799999707
100.46505199999228,100.3489640000007
100.55229500000132,100.91537300000346
100.29130800000712,99.84063499999684
100.4432769999912,100.22966000000088
100.54263200000425,100.57268699999986
100.51518000000216,100.25036100000216
100.38625999999933,103.1878689999976
100.49805700000434,99.93480099999942
100.471031999994,100.41951999999948
100.22220699999887,100.57582100000218
100.40595200000098,100.40181699999812
100.42317800000455,100.47483100000318
100.48613199999818,100.35339999999633
100.58121999999275,100.36169000000154
100.22143300000609,100.52193899999838
100.47005199999694,100.20100299999832
100.34924599999796,100.2886260000014
100.57151400000294,100.39910600000076
100.37887800000316,100.43543800000045
100.38177400000131,100.3221620000004
100.23781899999447,100.31925000000048
100.41552500000398,100.37497599999917
100.18789899999685,100.6473049999986
100.51173500000004,100.32148900000176
100.53429399999732,100.34394099999918
100.345748000007,100.24706400000288
100.2928299999985,100.41826299999592
100.32285299999783,100.25308500000392
100.40722000000096,100.386010000002
100.13012000000164,100.20330399999511
100.49655599999824,100.6122319999995
100.2635289999962,100.4528050000008
100.4583050000074,100.36232700000257
100.13597499999742,100.3763259999978
100.43730800000048,100.3867870000031
100.41608299999643,100.79352599999766
100.23311600000306,100.04573900000103
100.51761100000294,100.32745099999738
100.41466599999694,100.4091690000023
100.54061899999942,100.18715999999768
100.34039499999926,100.3604280000036
100.24530700000469,100.34002399999736
100.55221000000164,100.4064320000034
100.42808699999296,100.50294799999756
100.18410200000652,100.2664220000006
100.30666799999744,100.38166199999978
100.42680499999553,100.1999739999992
100.37667300000612,100.39631000000008
100.42016699999658,100.42150500000209
100.4138829999938,100.37251399999876
100.45449600000576,100.39577400000051
100.30084599999827,100.4016870000014
100.3143510000009,100.36375599999884
100.37730300000112,100.44371699999829
100.34448600000178,100.42752800000017
100.46676899999876,100.21845300000132
100.20683399999687,100.33836099999826
100.82282100000155,100.82396599999991
100.37983600000008,100.23147600000084
100.49249699999928,100.20157099999778
100.4227960000062,100.71261100000264
100.24792200000228,100.2823410000019
100.61379699999088,100.30322499999602
100.29533900000388,100.33610100000078
100.37245999999868,100.41640600000028
100.14655499999937,100.41334899999856
100.59208000000216,100.16681500000414
100.3029150000002,100.41643699999986
100.1910219999918,100.66920599999868
100.61047800000232,100.57487099999707
100.37329999999928,100.33753300000171
100.4467100000038,100.4000109999979
100.15265699999873,100.4045100000003
100.5719590000008,100.5504510000028
100.47466400000847,100.08075299999835
100.3060439999972,100.2896600000022
100.22393299999383,100.6551249999975
100.43514800000412,100.52141100000154
100.62758499999472,100.35566900000047
100.4039960000082,100.40227999999844
100.54506499999844,100.18938100000014
100.34949899999629,100.36111800000072
100.26286399999664,100.52829199999906
100.32852000000275,100.37487700000202
100.72653600000194,100.69461299999966
100.22740200000408,100.4555309999996
100.36723099999654,100.1974850000006
100.8855010000043,100.48659099999712
100.05799899999693,100.4609640000017
100.44628799999192,100.312457
100.48835900000267,100.37743499999851
100.33897000000434,100.31806500000312
100.51226999999926,100.3076940000028
100.29353399999673,100.41166899999372
100.40678499999922,100.36441299999932
100.29001600000628,100.4975270000068
100.39751999999862,100.36687499999972
100.24476499999582,100.6057909999945
100.3523930000083,100.23975800000336
100.66737899999862,100.24925199999416
100.244912999995,100.43753000000288
100.43126199999824,100.3788829999976
100.252081000006,100.52599700000428
100.82902399999875,100.34047799999826
100.18910200000391,100.24112400000011
100.4120669999902,100.27735000000392
100.08536900000765,100.26023999999596
101.03453199999784,100.74739899999986
100.27004399999714,100.6280440000046
100.41656099999818,100.05719699999464
100.29319700000632,100.6364870000034
100.51244099999894,100.44346499999664
100.58479400000216,100.40954800000328
100.3110189999934,100.53050999999688
100.5241840000017,100.39324399999896
100.55720799999835,100.80460800000584
100.15485500000796,100.17916399999376
100.83873899999162,100.20892900000764
