browser_isolated_idle,browser_isolated_busy_abovenormal,browser_isolated_maximum_normal,browser_isolated_medium_abovenormal
0.0,0.0,0.0,0.0
99.53999999997905,108.26000000000204,99.68000000005122,100.9199999999837
100.52000000001864,119.61999999999534,100.79999999993017,131.96000000002095
100.26000000000931,105.10000000000582,108.54000000003724,115.5800000000163
100.3399999999674,100.63999999999942,102.06000000005588,131.89999999996508
100.26000000000931,99.87999999999738,110.27999999991152,115.44000000000231
100.5,100.69999999999708,101.0800000000745,122.60000000003492
100.26000000000931,101.24000000000524,100.0,115.69999999995343
100.5,116.11999999999534,102.73999999999069,131.86000000004424
100.46000000002095,122.45999999999913,101.31999999994878,131.20000000001164
100.6599999999744,100.92000000000552,101.20000000006983,100.45999999996276
100.11999999999534,114.93999999999504,101.2599999998929,105.94000000000231
113.55999999999769,116.06000000000496,103.90000000002328,132.47999999998137
100.20000000001164,100.15999999999622,102.0,115.48000000003958
119.40000000002328,117.0,100.11999999999534,115.95999999996276
100.38000000000466,99.38000000000466,100.92000000004192,115.3400000000256
119.35999999998604,115.75999999999476,99.81999999994878,116.59999999997672
119.47999999998136,102.56000000000496,100.3200000000652,106.64000000001396
100.70000000001164,110.71999999999387,101.31999999994878,132.05999999999767
100.1599999999744,110.52000000000407,100.26000000000931,130.96000000002095
100.3400000000256,110.65999999999622,103.54000000003724,115.85999999998604
100.4199999999837,120.12000000000262,99.45999999996276,115.4199999999837
100.35999999998604,110.72000000000116,114.76000000000931,123.04000000003724
100.42000000004192,110.81999999999972,100.56000000005588,115.61999999999534
100.35999999998604,110.29999999999563,100.31999999994878,131.59999999997672
100.40000000002328,110.22000000000116,99.92000000004192,115.9199999999837
100.57999999995808,121.20000000000437,109.81999999994878,116.05999999999769
99.90000000002328,110.22000000000116,100.40000000002328,106.6600000000326
100.76000000000931,110.77999999999884,102.61999999999534,131.44000000000233
100.21999999997206,110.63999999999942,101.78000000002794,131.6599999999744
100.72000000003028,111.05999999999769,100.45999999996276,115.98000000003958
100.17999999999302,119.80000000000292,101.64000000001396,115.57999999995808
