,0,Missclassifications,Error
a2,224,196,46.666666666666664
a3,273,147,35.0
a4,254,166,39.52380952380952
a23,312,108,25.71428571428571
a24,307,113,26.9047619047619
a34,303,117,27.857142857142854
a234,338,82,19.523809523809522
r2,312,108,25.71428571428571
r3,350,70,16.666666666666664
r4,329,91,21.666666666666664
r23,351,69,16.428571428571427
r24,345,75,17.857142857142858
r34,347,73,17.38095238095238
r234,350,70,16.666666666666664
r2_a2,341,79,18.80952380952381
r2_a23,374,46,10.952380952380953
r2_a24,379,41,9.761904761904761
r2_a234,380,40,9.523809523809524
r23_a2,360,60,14.285714285714285
r23_a23,381,39,9.285714285714285
r23_a24,382,38,9.047619047619047
r23_a234,385,35,8.333333333333332
r234_a2,366,54,12.857142857142856
r234_a23,375,45,10.714285714285714
r234_a24,379,41,9.761904761904761
r234_a234,379,41,9.761904761904761
