,0,Missclassifications,Error
a2,184,236,56.19047619047619
a3,279,141,33.57142857142857
a4,254,166,39.52380952380952
a23,248,172,40.95238095238095
a24,277,143,34.047619047619044
a34,284,136,32.38095238095238
a234,290,130,30.95238095238095
r2,348,72,17.142857142857142
r3,368,52,12.38095238095238
r4,349,71,16.904761904761905
r23,363,57,13.571428571428571
r24,376,44,10.476190476190476
r34,374,46,10.952380952380953
r234,377,43,10.238095238095237
r2_a2,378,42,10.0
r2_a23,384,36,8.571428571428571
r2_a24,387,33,7.857142857142857
r2_a234,385,35,8.333333333333332
r23_a2,384,36,8.571428571428571
r23_a23,387,33,7.857142857142857
r23_a24,387,33,7.857142857142857
r23_a234,389,31,7.3809523809523805
r234_a2,385,35,8.333333333333332
r234_a23,392,28,6.666666666666666
r234_a24,390,30,7.142857142857142
r234_a234,394,26,6.19047619047619
