,0,Missclassifications,Error
a2,141,279,66.42857142857143
a3,223,197,46.904761904761905
a4,184,236,56.19047619047619
a23,227,193,45.95238095238095
a24,219,201,47.857142857142854
a34,225,195,46.42857142857142
a234,238,182,43.33333333333333
r2,267,153,36.42857142857142
r3,331,89,21.19047619047619
r4,307,113,26.9047619047619
r23,318,102,24.285714285714285
r24,314,106,25.238095238095237
r34,333,87,20.71428571428571
r234,332,88,20.952380952380953
r2_a2,301,119,28.333333333333332
r2_a23,343,77,18.333333333333332
r2_a24,338,82,19.523809523809522
r2_a234,339,81,19.285714285714285
r23_a2,330,90,21.428571428571427
r23_a23,346,74,17.619047619047617
r23_a24,349,71,16.904761904761905
r23_a234,350,70,16.666666666666664
r234_a2,345,75,17.857142857142858
r234_a23,358,62,14.761904761904761
r234_a24,358,62,14.761904761904761
r234_a234,359,61,14.523809523809524
