,0,Missclassifications,Error
a2,194,226,53.8095238095238
a3,243,177,42.14285714285714
a4,201,219,52.14285714285714
a23,267,153,36.42857142857142
a24,258,162,38.57142857142857
a34,240,180,42.857142857142854
a234,276,144,34.285714285714285
r2,276,144,34.285714285714285
r3,313,107,25.476190476190474
r4,304,116,27.619047619047617
r23,315,105,25.0
r24,332,88,20.952380952380953
r34,329,91,21.666666666666664
r234,338,82,19.523809523809522
r2_a2,316,104,24.76190476190476
r2_a23,361,59,14.047619047619047
r2_a24,362,58,13.809523809523808
r2_a234,371,49,11.666666666666666
r23_a2,328,92,21.904761904761905
r23_a23,355,65,15.476190476190474
r23_a24,365,55,13.095238095238095
r23_a234,373,47,11.19047619047619
r234_a2,342,78,18.57142857142857
r234_a23,359,61,14.523809523809524
r234_a24,365,55,13.095238095238095
r234_a234,372,48,11.428571428571427
