timestamp,distancs,key,type
0.0,0.0,Shift,keydown
175.50999999046144,175.50999999046144,U,keydown
414.5800001621228,239.07000017166138,r,keydown
876.9500000476819,462.3699998855591,s,keydown
1091.0,214.0499999523181,p,keydown
1306.7750000953656,215.7750000953656,r,keydown
1553.950000047682,247.17499995231628,ü,keydown
1846.1200001239758,292.17000007629395,n,keydown
2023.1200001239758,177.0,g,keydown
2141.495000123976,118.375,l,keydown
2390.9000000953656,249.40499997138977,i,keydown
2553.1749999523145,162.27499985694885,c,keydown
2701.1050000190717,147.9300000667572,h,keydown
2950.164999961851,249.05999994277954, ,keydown
3368.200000047682,418.0350000858307,b,keydown
3499.8900001049024,131.69000005722046,e,keydown
3721.950000047682,222.05999994277954,z,keydown
3858.090000152588,136.140000104906,e,keydown
4072.455000162123,214.36500000953492,i,keydown
5728.455000162123,1656.0,c,keydown
5907.605000019072,179.14999985694885,h,keydown
6113.44500017166,205.8400001525879,n,keydown
6214.5499999523145,101.10499978065491,e,keydown
6383.57000017166,169.0200002193451,t,keydown
6554.355000019072,170.7849998474121,e,keydown
6795.759999990461,241.40499997138977, ,keydown
6948.374999999998,152.61500000953674,d,keydown
7135.490000009535,187.11500000953674,e,keydown
7258.684999942778,123.1949999332428,r,keydown
7450.749999999998,192.06500005722046, ,keydown
7646.795000076292,196.04500007629395,a,keydown
7878.465000152582,231.6700000762903,z,keydown
7879.720000028612,1.2549998760296148,u,keydown
7999.509999990461,119.78999996184939,u,keydown
8537.490000009535,537.9800000190735,Backspace,keydown
8707.450000047682,169.96000003814697,Backspace,keydown
8970.00500011444,262.5550000667572,Backspace,keydown
9323.710000038142,353.7049999237024,u,keydown
9441.710000038142,118.0,s,keydown
9607.980000019072,166.26999998093015, ,keydown
9724.865000009535,116.88499999046326,d,keydown
9845.960000038142,121.09500002860659,e,keydown
10053.950000047682,207.99000000954038,m,keydown
10208.700000047682,154.75, ,keydown
10424.88000011444,216.1800000667572,Shift,keydown
10584.019999980928,159.13999986648923,E,keydown
10746.25500011444,162.23500013351077,n,keydown
10912.00500011444,165.75,g,keydown
11055.309999942778,143.30499982833862,l,keydown
11287.090000152582,231.7800002098047,i,keydown
11368.904999971388,81.81499981880552,s,keydown
11489.095000028612,120.1900000572241,c,keydown
11627.230000019072,138.13499999045962,h,keydown
11772.904999971388,145.67499995231628,e,keydown
11966.009999990461,193.1050000190735,n,keydown
12109.25500011444,143.24500012397766, ,keydown
12305.039999961851,195.7849998474121,e,keydown
12508.210000038142,203.1700000762903,n,keydown
12809.355000019072,301.14499998093015,t,keydown
13062.295000076292,252.94000005722046,l,keydown
13226.269999980928,163.9749999046362,e,keydown
13432.055000066755,205.78500008582705,h,keydown
13657.555000066755,225.5,n,keydown
13883.115000009535,225.55999994277954,t,keydown
14003.965000152582,120.85000014304751,e,keydown
14275.490000009535,271.5249998569525, ,keydown
14803.809999942778,528.3199999332428,Shift,keydown
14945.684999942778,141.875,B,keydown
15416.404999971388,470.72000002861023,e,keydown
15946.670000076292,530.2650001049042,g,keydown
16095.590000152582,148.9200000762903,r,keydown
16283.620000123976,188.0299999713934,i,keydown
16393.455000162125,109.83500003814879,f,keydown
16555.77999997139,162.32499980926514,f,keydown
17265.730000019073,709.9500000476837, ,keydown
17682.78500008583,417.0550000667572,b,keydown
17951.25500011444,268.47000002861023,r,keydown
17954.33500003814,3.0799999236987787,e,keydown
18289.80999994278,335.47499990463984,o,keydown
18863.97500014305,574.1650002002716,Backspace,keydown
19055.05999994278,191.0849997997284,Backspace,keydown
19558.21500015258,503.1550002098011,o,keydown
19661.884999990463,103.66999983788264,w,keydown
19900.06500005722,238.1800000667572,s,keydown
20067.269999980927,167.20499992370605,e,keydown
20467.96500015258,400.6950001716541,n,keydown
20736.15499997139,268.18999981880916, ,keydown
21131.080000162125,394.92500019073486,a,keydown
21231.125,100.04499983787537,m,keydown
21389.230000019073,158.1050000190735, ,keydown
21522.16000008583,132.9300000667572,Shift,keydown
21642.525000095367,120.36500000953674,C,keydown
21777.13000011444,134.6050000190735,o,keydown
21898.085000038147,120.95499992370605,m,keydown
22142.289999961853,244.20499992370605,p,keydown
22451.15499997139,308.86500000953674,u,keydown
22594.620000123978,143.4650001525879,t,keydown
22789.525000095367,194.90499997138977,e,keydown
22879.19500017166,89.67000007629395,r,keydown
23097.230000019073,218.0349998474121, ,keydown
23334.40499997139,237.17499995231628,l,keydown
23434.585000038147,100.1800000667572,e,keydown
23639.509999990463,204.92499995231628,d,keydown
23807.455000162125,167.94500017166138,i,keydown
23959.88000011444,152.42499995231628,g,keydown
24109.85000014305,149.97000002861023,l,keydown
24349.59500002861,239.74499988555908,i,keydown
24481.56500005722,131.97000002861023,c,keydown
24628.400000095375,146.83500003815425,h,keydown
24866.59500002861,238.19499993323552, ,keydown
25027.590000152588,160.99500012397766,d,keydown
25186.30500006675,158.71499991416204,a,keydown
25303.664999961853,117.3599998951031,s,keydown
25541.549999952316,237.88499999046326, ,keydown
25664.039999961853,122.49000000953674,Shift,keydown
25823.78500008583,159.74500012397766,N,keydown
26075.015000104904,251.2300000190735,u,keydown
26202.414999961853,127.39999985694885,t,keydown
26386.93000006675,184.5150001048969,z,keydown
26496.93000006675,110.0,e,keydown
26782.625,285.6949999332501,n,keydown
26981.650000095375,199.0250000953747, ,keydown
27350.920000076294,369.26999998091924,v,keydown
27434.605000019073,83.68499994277954,o,keydown
27630.88000011444,196.27500009536743,n,keydown
27941.705000162125,310.8250000476837, ,keydown
28049.72000002861,108.0149998664856,Shift,keydown
28221.43000006675,171.7100000381397,n,keydown
28332.94000005722,111.50999999047053,a,keydown
28587.985000133514,255.04500007629395,v,keydown
28805.06500005722,217.07999992370605,i,keydown
28987.924999952316,182.85999989509583,g,keydown
29171.16000008583,183.2350001335144,a,keydown
29385.080000162125,213.92000007629395,t,keydown
29567.120000123978,182.03999996185303,i,keydown
29784.06500005722,216.9449999332428,o,keydown
29959.400000095375,175.33500003815425,n,keydown
30075.980000019073,116.57999992369878,s,keydown
30290.400000095375,214.42000007630122,e,keydown
30449.18000006675,158.77999997137522,l,keydown
30580.96000003814,131.77999997138977,e,keydown
30773.049999952316,192.0899999141766,m,keydown
30917.18000006675,144.13000011443364,e,keydown
31060.640000104904,143.46000003815425,n,keydown
31187.289999961853,126.64999985694885,t,keydown
31303.414999961853,116.125,e,keydown
31614.19000005722,310.77500009536743,n,keydown
32408.43499994278,794.2449998855591,Shift,keydown
32729.44000005722,321.0050001144409,/,keydown
33472.545000076294,743.1050000190735,Backspace,keydown
33720.83500003814,248.28999996184575,Shift,keydown
33859.735000133514,138.9000000953747,(,keydown
34592.52999997139,732.7949998378754,",keydown
47056.56500005722,V,keydown
47228.920000076294,O,keydown
47518.78000020981,r,keydown
47776.15000009537,Shift,keydown
48089.13000011444,Backspace,keydown
48257.98000001907,Backspace,keydown
48673.98000001907,o,keydown
48781.25500011444,r,keydown
49008.26999998093,Shift,keydown
49359.71500015259,",keydown
38050.09000015259,3457.560000181198,",",keydown
38286.10500001907,236.0149998664856,Shift,keydown
38286.96000003814,0.8550000190662104, ,keydown
38585.900000095375,298.940000057235,",keydown
50950.89499998093,Z,keydown
52096.360000133514,u,keydown
52326.25,r,keydown
52678.0600001812,ü,keydown
52847.5,c,keydown
53078.44000005722,k,keydown
53169.580000162125,Shift,keydown
53327.18000006676,",keydown
42532.35500001907,3946.454999923699,",",keydown
42788.515000104904,256.1600000858307, ,keydown
42832.36500000953,43.84999990462529,Shift,keydown
43009.485000133514,177.12000012398494,",keydown
55090.32000017166,Shift,keydown
55295.47000002861,I,keydown
55654.27500009537,n,keydown
55825.65000009537,d,keydown
55964.46500015259,e,keydown
56276.9350001812,x,keydown
56524.16000008583,Shift,keydown
56781.87000012398,",keydown
45352.85500001907,2343.369999885559, ,keydown
45542.830000162125,189.97500014305115,e,keydown
45761.96000003814,219.12999987601506,t,keydown
45929.875,167.9149999618603,c,keydown
46274.765000104904,344.8900001049042,.,keydown
46442.00999999046,167.24499988555908,Shift,keydown
46663.10000014305,221.0900001525879,),keydown
47303.05500006675,639.9549999236988, ,keydown
47610.65499997139,307.59999990463984,z,keydown
47735.84500002861,125.19000005722046,u,keydown
48018.390000104904,282.54500007629395,m,keydown
48183.34500002861,164.95499992370605, ,keydown
