browser_natural_normal_50,os_natural_normal_50,browser_machine_normal_50,os_machine_normal_50,browser_natural_normal_75,os_natural_normal_75,browser_machine_normal_75,os_machine_normal_75,browser_natural_normal_100,os_natural_normal_100,browser_machine_normal_100,os_machine_normal_100,browser_natural_abovenormal_75,os_natural_abovenormal_75,browser_machine_abovenormal_75,os_machine_abovenormal_75,type
16.7594,16.7598444,21.822360000000003,21.822881600000002,16.992399999999996,16.9929005,21.711059999999996,21.7114394,15.90728,15.9077434,22.232520000000005,22.2330935,14.573239999999998,14.5736495,21.873920000000002,21.8742141,keydown
16.83372,16.8344147,21.980060000000023,21.980782100000003,17.08262,17.0834156,21.841720000000002,21.8423512,16.002740000000003,16.0033247,22.34502,22.3457696,14.680520000000001,14.6811585,22.05818,22.058827299999997,keyup
17.0266,17.0269054,22.188180000000017,22.188736900000002,17.3033,17.3039122,22.05822,22.0542657,16.170340000000003,16.170788,22.54832,22.5487961,14.8311,14.8316095,22.26716,22.2676332,keydown
17.1077,17.1084111,22.30676000000001,22.3074088,17.388820000000003,17.3894448,22.24436,22.244891199999998,16.25082,16.2513487,22.68292,22.683654399999998,14.9266,14.927190000000001,22.375040000000002,22.3756283,keyup
17.2884,17.2889439,22.513160000000013,22.513756100000002,17.63832,17.6389365,22.45586,22.4563164,16.417340000000003,16.4177807,22.890560000000004,22.8910862,15.08024,15.0807287,22.591260000000002,22.5856288,keydown
17.36576,17.3664478,22.677580000000006,22.678341800000002,17.71976,17.7204801,22.64786,22.648392899999997,16.487840000000002,16.488376099999996,22.98468,22.9854134,15.17466,15.1752366,22.684079999999998,22.6846228,keyup
17.55142,17.5519041,22.887980000000013,22.8884362,17.9315,17.9320929,22.86094,22.8613488,16.68044,16.6808368,23.199319999999997,23.1999025,15.323179999999997,15.3236507,22.895500000000002,22.8852917,keydown
17.63074,17.6314758,23.031800000000004,23.032504900000003,18.02888,18.0295333,22.9814,22.9819365,16.754820000000002,16.7554034,23.361340000000002,23.3620724,15.425639999999998,15.426247299999998,23.036399999999997,23.0369046,keyup
17.77626,17.7769022,23.24012000000002,23.240660700000003,18.230539999999998,18.2310039,23.18864,23.1891079,16.92352,16.923958499999998,23.57576,23.5763714,15.577299999999997,15.5776993,23.24894,23.249082599999998,keydown
17.86074,17.8615,23.352500000000006,23.353219600000003,18.33094,18.3315504,23.385759999999998,23.386305399999998,16.995820000000002,16.9964344,23.68688,23.6875686,15.677699999999998,15.678274799999999,23.386799999999997,23.3874677,keyup
18.03514,18.034102100000002,23.563440000000014,23.563928800000003,18.594319999999996,18.5949944,23.5929,23.593314499999998,17.184520000000003,17.184891899999997,23.888339999999996,23.8888979,15.832539999999998,15.824675699999998,23.606980000000004,23.5970095,keydown
18.11806,18.1185283,23.661820000000006,23.6625258,18.66198,18.6625873,23.77252,23.773063699999998,17.250880000000002,17.251461999999997,24.02208,24.0224878,15.906699999999997,15.907298599999999,23.752420000000004,23.752910699999997,keyup
18.28838,18.289004300000002,23.874240000000015,23.874155000000002,18.8988,18.8990654,23.981540000000003,23.9818961,17.621640000000003,17.621942500000003,24.23246,24.2329738,16.064239999999998,16.0647349,23.95918,23.9596852,keydown
18.373,18.3735781,23.978220000000007,23.9789284,19.00192,19.0026239,24.156100000000002,24.156679099999998,17.70804,17.7085207,24.423579999999998,24.4243193,16.16274,16.1633302,24.05098,24.0515923,keyup
18.51334,18.5140007,24.185060000000007,24.185546300000002,19.204900000000002,19.2040801,24.36714,24.3676034,17.88462,17.885004000000002,24.63996,24.6404829,16.29412,16.2947218,24.261300000000002,24.261838299999997,keydown
18.59278,18.5935808,24.302200000000013,24.3028777,19.300019999999996,19.3006641,24.5257,24.5261852,17.98996,17.990547999999997,24.758439999999997,24.7591768,16.395599999999998,16.390349,24.36848,24.3691554,keyup
18.79492,18.7951376,24.513080000000016,24.5135349,19.550739999999998,19.5511393,24.739979999999996,24.7404762,18.131580000000003,18.132024,24.969039999999996,24.9696662,16.5365,16.536737600000002,24.580359999999995,24.580248899999997,keydown
18.86398,18.8646281,24.70660000000001,24.7073058,19.63214,19.6326968,24.874000000000002,24.8746141,18.23206,18.232574800000002,25.07194,25.072692,16.62978,16.630377300000003,24.68476,24.6853846,keyup
19.07552,19.0761303,24.91734000000001,24.9176025,19.81592,19.8161589,25.08428,25.0845864,18.38454,18.3850068,25.282259999999997,25.2827877,16.786479999999997,16.786882000000002,24.90498,24.898621799999997,keydown
19.14604,19.1466797,25.00758000000002,25.008341400000003,19.906039999999997,19.906731100000002,25.18786,25.1884515,18.49304,18.4936023,25.402420000000003,25.4031087,16.89566,16.8934073,25.02394,25.0245461,keyup
19.30154,19.3021191,25.216760000000008,25.2170546,20.166780000000003,20.1672828,25.396839999999997,25.397298199999998,18.646720000000002,18.647145799999997,25.609740000000006,25.6103293,17.06532,17.0658467,25.231740000000006,25.2275548,keydown
19.372960000000003,19.3736648,25.333000000000013,25.333283100000003,20.253059999999998,20.2537685,25.523179999999996,25.5237503,18.76116,18.7616344,25.70246,25.7030153,17.14782,17.1484326,25.416460000000004,25.4170791,keyup
19.56158,19.5622035,25.542060000000006,25.5425314,20.44784,20.4482683,25.737899999999996,25.738197,18.92976,18.930125699999998,25.90528,25.9058691,17.2925,17.2929464,25.6538,25.632098499999998,keydown
19.62902,19.6297045,25.684780000000018,25.6854027,20.529020000000003,20.5297993,25.85996,25.8603392,19.02908,19.029662000000002,26.104380000000003,26.1051331,17.389899999999997,17.3904643,25.796780000000002,25.797348799999998,keyup
19.8067,19.8071926,25.887560000000008,25.8877862,20.77492,20.7753073,26.063719999999996,26.064072899999996,19.17368,19.174139099999998,26.3118,26.312399199999998,17.5518,17.546883100000002,26.006339999999998,26.006804699999996,keydown
19.88698,19.8877198,25.994100000000017,25.9946604,20.86918,20.8698495,26.23026,26.2308377,19.28912,19.2896948,26.50438,26.5049124,17.61988,17.6204801,26.09918,26.099704799999998,keyup
20.0567,20.0572201,26.197720000000018,26.1982486,21.090739999999997,21.0913088,26.432359999999996,26.4328239,19.46574,19.466160799999997,26.71652,26.716950800000003,17.77472,17.7749375,26.309700000000003,26.305463599999996,keydown
20.14208,20.1427663,26.346980000000016,26.3476493,21.188119999999998,21.1888692,26.573679999999996,26.5742564,19.56114,19.561726299999997,26.887560000000004,26.8882815,17.86094,17.8615187,26.445240000000002,26.4458853,keyup
