browser_natural,os_natural,browser_machine,os_machine,type
0.0,0.0,0.0,0.0,keydown
0.051305000066756534,0.051942799999999956,0.00963499999046391,0.010332499999999634,keyup
0.2045349999666204,0.2048483000000001,0.21624000000953636,0.21650240000000043,keydown
0.29665499997138767,0.2969966999999998,0.2264150000810634,0.22672800000000048,keyup
0.42678499996661934,0.42710289999999995,0.4354650000333802,0.43570639999999994,keydown
0.5187849999666199,0.5191096000000002,0.44528500008583194,0.44605919999999966,keyup
0.6656549999713874,0.6658537,0.6523849999904634,0.6526721000000002,keydown
0.7515950000286082,0.7520435999999999,0.6624450000524522,0.6629813000000002,keyup
0.8918999999761557,0.8921275,0.8704200000762938,0.8706091000000002,keydown
0.9655249999761555,0.9660603999999999,0.8807800000905992,0.8809038999999999,keyup
1.1260850000381453,1.1260617000000002,1.0858700000047694,1.0859870000000003,keydown
1.2123999999761566,1.213076,1.0960350000858323,1.0963459000000002,keyup
1.3848050000667556,1.3849649,1.301495000004767,1.3012132000000003,keydown
1.4497350000143037,1.4501119999999998,1.3110750000476834,1.3117646,keyup
1.5948400000333773,1.5951214,1.5186100000143057,1.5186302999999999,keydown
1.6748150000572188,1.6752029999999998,1.5282900000810642,1.5289514999999998,keyup
1.8310450000762923,1.8313359,1.7353400000333803,1.7356809000000002,keydown
1.9006549999713869,1.9011562,1.74534000003338,1.7459635000000002,keyup
2.0533100000619875,2.0539424,1.951350000023842,1.9515830000000003,keydown
2.129480000019072,2.1301763,1.9612200000286109,1.9619176000000005,keyup
2.282870000004767,2.2831787,2.1671900000572215,2.1672140000000004,keydown
2.343735000014304,2.3442113,2.1771850000619892,2.1775916000000004,keyup
2.51357000005245,2.5139925,2.384100000023844,2.3842444,keydown
2.5810600000619885,2.5812603,2.393785000085831,2.3945628,keyup
2.725894999980923,2.7262308,2.6004250000715263,2.6007854999999998,keydown
2.7929200000762915,2.7932751999999996,2.610695000052452,2.6111261,keyup
2.9641399999856937,2.9642830000000004,2.815245000004767,2.8155611,keydown
3.0340249999761557,3.0343277,2.8253899999856955,2.8258428,keyup
3.183879999995227,3.1842377,3.0323550000190735,3.0326246999999995,keydown
3.257710000038143,3.258296,3.0422400000095386,3.0429724999999994,keyup
3.4051000000238396,3.4053147000000004,3.2516700000762953,3.2516876000000003,keydown
3.4778450000286085,3.4783364000000003,3.2614100000858315,3.2621163000000006,keyup
3.6411549999713877,3.6413404000000003,3.4708050000667576,3.4710169000000004,keydown
3.7128700000047683,3.7133588000000004,3.4812250000238407,3.481395300000001,keyup
3.8629850000143033,3.8633227,3.6865950000286105,3.6867763999999994,keydown
3.9398500000238403,3.9403908,3.6965500000715252,3.6971132000000004,keyup
4.089245000004766,4.089468,3.904290000081062,3.9045819,keydown
4.176904999971388,4.1774042,3.914925000071527,3.9149069,keyup
4.3198999999761565,4.3200628000000005,4.1196050000190745,4.1196783,keydown
4.400999999999998,4.401457300000001,4.129585000038148,4.1300487,keyup
4.567879999995229,4.5683107,4.336134999990463,4.3365106,keydown
4.640965000033377,4.6414715,4.34612000000477,4.346754000000001,keyup
4.792134999990459,4.792446099999999,4.552335000038148,4.552603899999999,keydown
4.873930000066755,4.874496199999999,4.5625,4.562985100000001,keyup
5.036575000047682,5.036700099999999,4.770629999995233,4.770821400000001,keydown
5.1207549999952295,5.1215037,4.780745000004767,4.781237900000001,keyup
5.256409999966619,5.2565831,4.9865300000906,4.9868595,keydown
5.352085000038144,5.3525413,4.996655000090598,4.997225500000001,keyup
