timestamp,type
5.0095595,keydown
5.0198177,keyup
5.2263876,keydown
5.2367766,keyup
5.4415283,keydown
5.4518186,keyup
5.6589797,keydown
5.6691972,keyup
5.8758069,keydown
5.8861354,keyup
6.0924263,keydown
6.1026658,keyup
6.3096172,keydown
6.319868,keyup
6.525927,keydown
6.536239,keyup
6.7428357,keydown
6.7531427,keyup
6.9580674,keydown
6.9684126,keyup
7.1746283,keydown
7.1848879,keyup
7.3929675,keydown
7.403313,keyup
7.6102231,keydown
7.6206056,keyup
7.828419,keydown
7.8388226,keyup
8.0452831,keydown
8.0556731,keyup
8.2614864,keydown
8.271729,keyup
8.4775943,keydown
8.487934599999999,keyup
8.6941474,keydown
8.7044944,keyup
8.9117442,keydown
8.9220083,keyup
9.1282019,keydown
9.1384622,keyup
9.3441873,keydown
9.3543687,keyup
9.5601814,keydown
9.5704062,keyup
9.7783841,keydown
9.7887715,keyup
9.9937334,keydown
10.0041312,keyup
10.2116855,keydown
10.2220179,keyup
10.4293024,keydown
10.4395439,keyup
10.6464355,keydown
10.6567939,keyup
10.8647234,keydown
10.8750359,keyup
11.0814161,keydown
11.0917406,keyup
11.2991298,keydown
11.3094065,keyup
11.5176645,keydown
11.5279109,keyup
11.7354802,keydown
11.7458318,keyup
11.950807900000001,keydown
11.9611566,keyup
12.1665655,keydown
12.1769345,keyup
12.3830415,keydown
12.3934659,keyup
12.5983961,keydown
12.6086393,keyup
12.814792,keydown
12.8250778,keyup
13.0305095,keydown
13.0406829,keyup
13.2481302,keydown
13.2585109,keyup
13.4657106,keydown
13.4761127,keyup
13.6843121,keydown
13.6946057,keyup
13.9036951,keydown
13.9140298,keyup
14.1195766,keydown
14.1298901,keyup
14.3364037,keydown
14.346805,keyup
14.5521306,keydown
14.5623898,keyup
14.7671198,keydown
14.7773509,keyup
14.9842961,keydown
14.9945645,keyup
15.1997793,keydown
15.2101193,keyup
15.417371,keydown
15.4277639,keyup
15.6343387,keydown
15.644763,keyup
15.8503486,keydown
15.8606131,keyup
16.0653745,keydown
16.0755905,keyup
16.2815002,keydown
16.2917808,keyup
16.4989006,keydown
16.5092372,keyup
16.7151474,keydown
16.7254877,keyup
16.9325661,keydown
16.9428234,keyup
17.1509674,keydown
17.1613608,keyup
17.3669028,keydown
17.3772618,keyup
17.5838508,keydown
17.5941713,keyup
17.800046299999998,keydown
17.8103854,keyup
18.017083,keydown
18.0273701,keyup
18.2361639,keydown
18.2465344,keyup
18.4499461,keydown
18.4602518,keyup
18.6664674,keydown
18.6768942,keyup
18.8826892,keydown
18.8930266,keyup
19.0994278,keydown
19.1097865,keyup
19.3180761,keydown
19.3284252,keyup
19.5334256,keydown
19.5438155,keyup
19.7512223,keydown
19.7616254,keyup
19.9688428,keydown
19.9791381,keyup
20.1864385,keydown
20.1966785,keyup
20.4035104,keydown
20.4138377,keyup
20.6220339,keydown
20.6323987,keyup
20.8386828,keydown
20.849078,keyup
21.0536984,keydown
21.0640777,keyup
21.2714998,keydown
21.2817632,keyup
21.488501,keydown
21.498927,keyup
21.7031205,keydown
21.7134742,keyup
21.9204989,keydown
21.930846,keyup
22.1374119,keydown
22.1477441,keyup
22.3544929,keydown
22.3648673,keyup
22.5705047,keydown
22.580832,keyup
22.7854441,keydown
22.7958345,keyup
23.0026765,keydown
23.0131008,keyup
23.2209583,keydown
23.2311914,keyup
23.4375824,keydown
23.4478481,keyup
23.6552812,keydown
23.6656121,keyup
23.8719434,keydown
23.8823976,keyup
24.0876478,keydown
24.0978892,keyup
24.3048548,keydown
24.3151864,keyup
24.5243929,keydown
24.5346544,keyup
24.7405177,keydown
24.7509097,keyup
24.9577154,keydown
24.9680492,keyup
25.1757691,keydown
25.1861106,keyup
25.3927989,keydown
25.4031539,keyup
25.607828,keydown
25.6180254,keyup
25.8229781,keydown
25.8333255,keyup
26.0406059,keydown
26.0509626,keyup
26.2576921,keydown
26.2680324,keyup
26.4728045,keydown
26.4831729,keyup
